source,N,duplicates,malformed,ge4,ge4_rate,ge5,ge5_rate,ge6,ge6_rate,full7,full7_rate
lmarena_00000.jsonl,42928,7359,0,0,0.0,0,0.0,0,0.0,0,0.0
train-00000-of-00007.parquet,0,50287,0,0,0,0,0,0,0,0,0
train-00080-of-00086.parquet,45441,6518,0,1,2.2006557954270374e-05,0,0.0,0,0.0,0,0.0
train-00085-of-00086.parquet,70336,3621,0,1,1.4217470427661511e-05,0,0.0,0,0.0,0,0.0
