partition,N,ROC_AUC,ACCURACY
DEVELOPMENT,850,0.9197076923076923,0.8482352941176471
CONFIRMATION,510,0.9439102564102564,0.8509803921568627
FINAL_HOLDOUT,340,0.9300961538461539,0.8205882352941176
