seed,condition,OUTPUT_TOKENS,CHAR_COUNT,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,LATENCY_SECONDS,RETURN,GENERATIVE_REUSE,RECURRENCE,META_CONTROL,PRESERVATION,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY_DENSITY,CONTROL_DENSITY,PRESERVATION_DENSITY,FINGERPRINT_MAGNITUDE
0,A0_AUTHENTIC,260.0,485.75,72.5,4.75,0.7900443525618841,5.901878153403398,7.145047843456268,0.0,0.0,0.0,1.25,1.75,2.5,1.5,0.75,1.5,2.0,4.25,7.75
0,A1_AUTHENTIC_PARAPHRASE,249.5,130.75,19.75,1.25,0.46311475409836067,2.6509562841530054,5.922413229942322,0.0,0.0,0.0,0.5,0.5,0.75,0.0,0.0,0.0,0.5,1.25,1.75
0,A2_AUTHENTIC_PARAPHRASE,260.0,378.5,56.0,3.75,0.8241504247876061,5.259779485257371,6.338588297367096,0.0,0.0,0.0,2.0,1.5,2.25,0.25,0.5,0.25,2.5,3.75,6.5
0,A3_AUTHENTIC_PARAPHRASE,260.0,703.25,104.5,5.5,0.7816597515025215,5.617881748069049,4.321516931056976,0.0,0.0,0.0,0.5,1.75,0.0,0.5,0.25,0.5,0.75,1.75,3.0
0,D_DIRECTION_REVERSED,260.0,31.75,4.25,0.25,0.23529411764705882,1.6176470588235294,4.172816634178162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25
0,O_ORDER_SHUFFLED,257.75,264.25,36.0,1.75,0.6181174089068826,4.740418353576248,4.159514307975769,0.0,0.0,0.0,0.75,1.0,0.5,2.0,0.5,2.0,1.25,1.5,4.75
0,M_META_CONTROL_ABLATED,229.75,596.5,84.0,5.0,0.7437382545683892,6.024537301328561,4.000305891036987,0.25,0.0,0.0,0.0,3.0,2.75,2.0,0.0,2.25,0.0,5.75,8.0
0,P_PRESERVATION_ABLATED,253.75,395.5,54.75,3.25,0.6073958333333334,4.669449404761904,5.623733222484589,0.0,0.0,0.0,1.75,1.0,1.25,0.75,0.25,0.75,2.0,2.25,5.0
0,T_TERMINAL_COUNTERFACTUAL,260.0,0.0,0.0,0.0,0.0,0.0,4.054085373878479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,C_COMPRESSION_ABLATED,254.0,833.75,116.25,6.5,0.7975650721121206,6.064680631564033,5.987405955791473,0.0,0.0,0.0,1.25,1.25,0.25,5.0,1.75,5.0,3.0,1.5,9.5
0,R_RECURSION_CONTROL,260.0,213.5,33.0,2.0,0.621542726679713,3.9668909001956947,4.266487956047058,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.5
0,X_COMPLEXITY_CONTROL,260.0,891.5,122.5,7.5,0.7859899749373433,6.181071428571428,4.487462282180786,0.0,0.0,0.0,0.75,2.0,0.0,2.25,0.75,2.25,1.5,2.0,5.75
0,L_LINEAR_CONTROL,253.0,131.0,19.75,1.75,0.6869565217391305,4.171195652173913,3.6297383308410645,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.25,0.5,0.75,0.25,1.5
0,G_RANDOM_GRAPH_CONTROL,260.0,0.0,0.0,0.0,0.0,0.0,4.122434198856354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,DM_DIRECTION_META_DAMAGE,195.0,24.25,3.75,0.25,0.23333333333333334,1.3833333333333333,4.371097385883331,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
0,DP_DIRECTION_PRESERVATION_DAMAGE,260.0,242.75,35.75,2.0,0.3982843137254902,2.849797527706735,3.9714303612709045,0.0,0.0,0.0,0.75,0.5,0.0,0.5,0.5,0.5,1.25,0.5,2.25
0,OP_ORDER_PRESERVATION_DAMAGE,260.0,0.0,0.0,0.0,0.0,0.0,4.586795508861542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,PT_PRESERVATION_TERMINAL_DAMAGE,260.0,69.75,10.5,0.5,0.20238095238095238,1.3988095238095237,4.272346019744873,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.5,0.75
0,H_AUTHENTIC_HELDOUT,253.0,293.75,43.5,2.75,0.5848686483196526,4.183057524962576,4.943260967731476,0.0,0.0,0.0,1.25,0.75,1.25,0.75,0.5,0.75,1.75,2.0,4.5
0,H_DAMAGED_HELDOUT,260.0,0.0,0.0,0.0,0.0,0.0,4.592871606349945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A0_AUTHENTIC,260.0,315.5,45.75,2.75,0.37664050437467833,2.89619788986104,3.8748053312301636,0.0,0.0,0.0,1.0,1.0,1.5,1.75,0.5,1.75,1.5,2.5,5.75
