comparison,feature,n_positive,n_control,mean_positive,mean_control,cohen_d,abs_d
ultra_high_signal_claim_conversation,unique_dominant_states,376,1399,8.303191489361701,2.0464617583988565,2.3927055476163517,2.3927055476163517
ultra_high_signal_claim_conversation,dominant_family_entropy,376,1399,2.952027165591849,1.0692749868350404,2.079796976218332,2.079796976218332
ultra_high_signal_claim_conversation,max_fam_symbolic,376,1399,50.58414454804913,2.99586540517463,1.8354085683429264,1.8354085683429264
ultra_high_signal_claim_conversation,max_log_words,376,1399,7.2035502320180615,5.601559803747093,1.6184092026092098,1.6184092026092098
ultra_high_signal_claim_conversation,n_user_assistant_pairs,376,1399,68.21542553191489,6.807719799857041,1.6076339978898566,1.6076339978898566
ultra_high_signal_claim_conversation,max_heading_per_1k,376,1399,36.29949302644194,9.88359452283357,1.6028389800474054,1.6028389800474054
ultra_high_signal_claim_conversation,n_assistant,376,1399,69.75797872340425,7.259471050750536,1.6017536408380488,1.6017536408380488
ultra_high_signal_claim_conversation,n_messages,376,1399,140.11170212765958,14.26518942101501,1.5967374361849773,1.5967374361849773
ultra_high_signal_claim_conversation,n_user,376,1399,70.35372340425532,7.005718370264475,1.5882753844001436,1.5882753844001436
ultra_high_signal_claim_conversation,max_conditional_per_1k,376,1399,104.73133628543175,26.006855271851034,1.572618122925017,1.572618122925017
ultra_high_signal_claim_conversation,max_fam_hierarchy,376,1399,72.90402697608485,5.454462909275526,1.5525828917293671,1.5525828917293671
ultra_high_signal_claim_conversation,mean_fam_symbolic,376,1399,7.098828602435357,0.6704570770207557,1.4856908885407456,1.4856908885407456
ultra_high_signal_claim_conversation,max_paren_per_1k,376,1399,129.6655030478335,35.96126003268383,1.4564564703469416,1.4564564703469416
ultra_high_signal_claim_conversation,max_fam_recursion,376,1399,41.497044965922804,2.258716035653147,1.4371853030853794,1.4371853030853794
ultra_high_signal_claim_conversation,max_fam_control,376,1399,39.9322733381037,4.255940515333198,1.426096424407644,1.426096424407644
ultra_high_signal_claim_conversation,mean_fam_recursion,376,1399,4.628766116624058,0.38780533357686175,1.396677973486544,1.396677973486544
ultra_high_signal_claim_conversation,max_bullet_per_1k,376,1399,101.88390000784715,34.77788282507367,1.3251804075935523,1.3251804075935523
ultra_high_signal_claim_conversation,max_sentence_count,376,1399,133.6595744680851,28.653323802716226,1.3092116335071124,1.3092116335071124
ultra_high_signal_claim_conversation,max_question_rate,376,1399,1.0326704236710884,0.3409997647167512,1.2565530580094946,1.2565530580094946
ultra_high_signal_claim_conversation,mean_delta_norm,376,1399,9.544310722016544,6.916766980337729,1.2139743630418423,1.2139743630418423
ultra_high_signal_claim_conversation,max_self_ref_per_1k,376,1399,172.9213988077002,76.19652392298981,1.2113467153189594,1.2113467153189594
ultra_high_signal_claim_conversation,max_causal_per_1k,376,1399,31.154070792413986,7.6701325306557315,1.1979277169165756,1.1979277169165756
ultra_high_signal_claim_conversation,max_word_count,376,1399,2220.593085106383,425.46461758398857,1.1851401702349929,1.1851401702349929
ultra_high_signal_claim_conversation,max_arrow_per_1k,376,1399,48.300298273622374,4.735358825163011,1.1822472257466705,1.1822472257466705
ultra_high_signal_claim_conversation,end_time,376,1399,1755782825.5002208,1725151009.6011255,1.1591875503426314,1.1591875503426314
ultra_high_signal_claim_conversation,max_meta_ref_per_1k,376,1399,79.30793577693595,21.513822175470867,1.1573007446155381,1.1573007446155381
ultra_high_signal_claim_conversation,start_time,376,1399,1755410732.5871127,1725073939.8262494,1.1478542920682637,1.1478542920682637
ultra_high_signal_claim_conversation,mean_heading_per_1k,376,1399,8.202431483030002,2.8982838984532173,1.1413003856995843,1.1413003856995843
ultra_high_signal_claim_conversation,mean_word_count,376,1399,317.76016463545494,148.74168812419867,1.1122629473033452,1.1122629473033452
ultra_high_signal_claim_conversation,mean_fam_control,376,1399,3.8655611551213185,0.8269944530041874,1.0678792684152838,1.0678792684152838
ultra_high_signal_claim_conversation,max_fam_compression,376,1399,13.024200030514379,0.5793711812467135,1.0507843635632224,1.0507843635632224
ultra_high_signal_claim_conversation,mean_fam_hierarchy,376,1399,6.392071757112135,1.253942967319589,1.0270749534592138,1.0270749534592138
ultra_high_signal_claim_conversation,mean_log_words,376,1399,4.6723772102510965,3.95088338864796,1.004927257829761,1.004927257829761
ultra_high_signal_claim_conversation,max_fam_composition,376,1399,11.603415626700167,1.0935025849666706,0.9605930027125459,0.9605930027125459
ultra_high_signal_claim_conversation,max_fam_reconstruction,376,1399,27.1371364537983,3.057104259674695,0.9527016307765913,0.9527016307765913
ultra_high_signal_claim_conversation,max_fam_trajectory,376,1399,23.226610049645185,1.879965846941533,0.9260488760617986,0.9260488760617986
ultra_high_signal_claim_conversation,max_fam_topology,376,1399,22.283161010808087,2.6119247823443836,0.914977444961872,0.914977444961872
ultra_high_signal_claim_conversation,mean_arrow_per_1k,376,1399,3.9961561204905185,0.9725079222276616,0.8838100032544621,0.8838100032544621
ultra_high_signal_claim_conversation,mean_sentence_count,376,1399,18.09803637709858,9.74812921070694,0.8751139464685297,0.8751139464685297
ultra_high_signal_claim_conversation,mean_fam_compression,376,1399,0.735599528434077,0.0888657069858368,0.8598033904923303,0.8598033904923303
ultra_high_signal_claim_conversation,max_fam_meta,376,1399,22.112456575627128,4.208881153494614,0.8540577290469783,0.8540577290469783
ultra_high_signal_claim_conversation,mean_bullet_per_1k,376,1399,21.51965569580286,9.880937092041107,0.8258938451713538,0.8258938451713538
ultra_high_signal_claim_conversation,max_fam_genealogy,376,1399,3.9131073008116437,0.16300078018972042,0.8003724277653134,0.8003724277653134
ultra_high_signal_claim_conversation,max_fam_constraints,376,1399,12.35234883042408,2.0231119152696078,0.7736992825782131,0.7736992825782131
ultra_high_signal_claim_conversation,mean_recurrence,376,1399,0.8967309942291257,0.6454795687877345,0.7184577540853864,0.7184577540853864
ultra_high_signal_claim_conversation,max_avg_word_len,376,1399,7.8472260025681,6.296072871297711,0.7159362484598942,0.7159362484598942
ultra_high_signal_claim_conversation,mean_fam_composition,376,1399,0.5249245699314645,0.11775561435035688,0.7152907864372399,0.7152907864372399
ultra_high_signal_claim_conversation,sd_delta_norm,376,1399,1.601045839064683,0.9972545226723075,0.708258290607945,0.708258290607945
ultra_high_signal_claim_conversation,max_colon_per_1k,376,1399,153.61527947817305,73.4952510947835,0.6919210590304413,0.6919210590304413
ultra_high_signal_claim_conversation,mean_type_token_ratio,376,1399,0.7097182813196069,0.7747055583893491,-0.6842191604627863,0.6842191604627863
