comparison,feature,n_positive,n_control,mean_positive,mean_control,cohen_d,abs_d
claim_ranked_conversation,max_log_words,1431,344,6.25918075986689,4.616945887533298,1.6530807575992095,1.6530807575992095
claim_ranked_conversation,dominant_family_entropy,1431,344,1.7773817140804673,0.18152525580118656,1.5850953797972753,1.5850953797972753
claim_ranked_conversation,mean_delta_norm,1431,344,8.024730815488848,5.179732674436523,1.3304543449398427,1.3304543449398427
claim_ranked_conversation,mean_log_words,1431,344,4.258129027227807,3.46138678433115,1.1232028618737881,1.1232028618737881
claim_ranked_conversation,mean_curvature,1431,344,1.5174157429529367,0.8459624826408843,0.9968723615889971,0.9968723615889971
claim_ranked_conversation,unique_dominant_states,1431,344,4.018169112508735,0.6831395348837209,0.9774607300553199,0.9774607300553199
claim_ranked_conversation,mean_type_token_ratio,1431,344,0.7436667581451882,0.832790753072986,-0.967556348872075,0.967556348872075
claim_ranked_conversation,mean_recurrence,1431,344,0.7613242763580406,0.43820270667394107,0.9466112305904748,0.9466112305904748
claim_ranked_conversation,max_heading_per_1k,1431,344,18.651308113499375,2.284116874909089,0.8794661252934154,0.8794661252934154
claim_ranked_conversation,mean_word_count,1431,344,210.90216396939803,74.90246205952431,0.8605960595290609,0.8605960595290609
claim_ranked_conversation,lagged_user_assistant_gain,1431,344,2.131639291400634,1.522087315113221,0.8331609306680261,0.8331609306680261
claim_ranked_conversation,mean_sentence_count,1431,344,13.055670656644441,5.115784110203143,0.824067834665465,0.824067834665465
claim_ranked_conversation,mean_heading_per_1k,1431,344,4.786411052046889,0.8414511513844047,0.8075007820112244,0.8075007820112244
claim_ranked_conversation,max_bullet_per_1k,1431,344,57.10283742671442,15.25710499302399,0.7585626667680545,0.7585626667680545
claim_ranked_conversation,ABA_feedback_rate,1431,344,0.1161637388202264,0.020629043639792694,0.7053492345472885,0.7053492345472885
claim_ranked_conversation,max_paren_per_1k,1431,344,65.2670357506395,16.473557478328356,0.6744106138153811,0.6744106138153811
claim_ranked_conversation,ultra_high_signal_claim_conversation,1431,344,0.26275331935709295,0.0,0.6645111057667306,0.6645111057667306
claim_ranked_conversation,max_causal_per_1k,1431,344,15.252388698544102,1.7973191881349133,0.6355704157985165,0.6355704157985165
claim_ranked_conversation,sd_delta_norm,1431,344,1.2291304876807092,0.6926354210342555,0.6225395240148791,0.6225395240148791
claim_ranked_conversation,mean_bullet_per_1k,1431,344,14.063672723270448,5.202633332521427,0.6130013157600581,0.6130013157600581
claim_ranked_conversation,max_conditional_per_1k,1431,344,49.35930646840254,14.911062245226459,0.5946219832434068,0.5946219832434068
claim_ranked_conversation,max_self_ref_per_1k,1431,344,106.49918619006976,55.863510122000534,0.5831919415539065,0.5831919415539065
claim_ranked_conversation,max_sentence_count,1431,344,60.343116701607265,11.601744186046512,0.5482319689172996,0.5482319689172996
claim_ranked_conversation,max_meta_ref_per_1k,1431,344,39.40500997562491,10.258871513059358,0.5394386245053335,0.5394386245053335
claim_ranked_conversation,end_time,1431,344,1734627392.7167478,1719211644.890673,0.5390132826567278,0.5390132826567278
claim_ranked_conversation,max_question_rate,1431,344,0.5504183246217536,0.22585502210853142,0.5361328368357008,0.5361328368357008
claim_ranked_conversation,start_time,1431,344,1734458188.8509128,1719195375.0698292,0.5343415669791234,0.5343415669791234
