conversation_id,conversation_title,n_messages,n_user,n_assistant,start_time,end_time,mean_delta_norm,sd_delta_norm,mean_transition_cosine,mean_curvature,mean_recurrence,dominant_dwell_rate,ABA_feedback_rate,dominant_family_entropy,lagged_user_assistant_cosine,lagged_user_assistant_gain,n_user_assistant_pairs,unique_dominant_states,mean_word_count,max_word_count,mean_log_words,max_log_words,mean_type_token_ratio,max_type_token_ratio,mean_avg_word_len,max_avg_word_len,mean_sentence_count,max_sentence_count,mean_question_rate,max_question_rate,mean_exclaim_rate,max_exclaim_rate,mean_colon_per_1k,max_colon_per_1k,mean_semicolon_per_1k,max_semicolon_per_1k,mean_paren_per_1k,max_paren_per_1k,mean_bracket_per_1k,max_bracket_per_1k,mean_arrow_per_1k,max_arrow_per_1k,mean_heading_per_1k,max_heading_per_1k,mean_bullet_per_1k,max_bullet_per_1k,mean_numbered_per_1k,max_numbered_per_1k,mean_code_fence_per_1k,max_code_fence_per_1k,mean_causal_per_1k,max_causal_per_1k,mean_conditional_per_1k,max_conditional_per_1k,mean_self_ref_per_1k,max_self_ref_per_1k,mean_meta_ref_per_1k,max_meta_ref_per_1k,mean_fam_recursion,max_fam_recursion,mean_fam_control,max_fam_control,mean_fam_hierarchy,max_fam_hierarchy,mean_fam_topology,max_fam_topology,mean_fam_trajectory,max_fam_trajectory,mean_fam_reconstruction,max_fam_reconstruction,mean_fam_persistence,max_fam_persistence,mean_fam_compression,max_fam_compression,mean_fam_meta,max_fam_meta,mean_fam_coupling,max_fam_coupling,mean_fam_genealogy,max_fam_genealogy,mean_fam_generativity,max_fam_generativity,mean_fam_constraints,max_fam_constraints,mean_fam_composition,max_fam_composition,mean_fam_symbolic,max_fam_symbolic,mean_fam_cross_model,max_fam_cross_model,mean_fam_cross_domain,max_fam_cross_domain,mean_fam_information,max_fam_information,mean_fam_robustness,max_fam_robustness
0064ad25-dfa4-40a7-b00c-24dac4fada4b,TikTok Health Slides,10,5,5,1722892175.861323,1722897378.957156,8.613438285726643,1.008013461588832,0.6301079025070647,1.8614684715113605,0.8740919259886475,0.1111111111111111,0.0,1.5477148875984352,0.6269306943846595,2.4828479355328525,5,3,141.5,370.0,4.129463885816357,5.916202062607435,0.6751009971076208,1.0,4.551335216775427,5.108695652173913,7.8,22.0,0.04318181818181818,0.25,0.14696969696969697,0.8333333333333334,58.452585688148645,142.85714285714286,0.0,0.0,8.5048102432983,48.64864864864865,0.0,0.0,0.0,0.0,11.312243503394402,33.61344537815126,24.462185002309724,81.08108108108108,8.539153595469244,38.16793893129771,0.0,0.0,0.8222080236742105,4.405286343612335,4.301890034468218,23.46041055718475,3.3778004564654487,21.73913043478261,0.5865102639296188,5.865102639296188,0.0,0.0,0.0,0.0,1.0270388982908523,5.865102639296188,0.0,0.0,0.0,0.0,0.0,0.0,1.708563570174011,11.450381679389313,0.0,0.0,0.0,0.0,0.6519496595832474,3.8167938931297707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.228883355678989,43.47826086956522,0.0,0.0
006fe61a-293a-4283-be2f-737aaac4403b,Unique Visual Styles Options,30,4,26,1705526132.805512,1705527445.50477,6.517500311832141,2.48370622560702,0.7331852011496711,1.4309844595826184,0.8723956664066874,0.1724137931034483,0.21428571428571427,2.1370465691387284,0.5994425554386923,1.58765345222288,4,5,115.93333333333334,430.0,4.301301703505601,6.066108090103747,0.6917436718097996,0.95,5.699464504679984,7.160493827160494,6.533333333333333,30.0,0.0,0.0,0.2849206349206349,1.0,37.684128578410295,135.80246913580245,0.0,0.0,19.707864301342447,123.45679012345678,19.707864301342447,123.45679012345678,0.0,0.0,0.3483778445220121,7.874015748031496,19.448376395103512,61.72839506172839,10.293126949023813,61.72839506172839,0.0,0.0,0.9524987629886195,23.25581395348837,2.4056229250229064,38.46153846153847,11.50099783622969,56.60377358490566,5.164329317517171,27.47252747252747,0.0,0.0,0.07751937984496124,2.3255813953488373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045150257085316,23.25581395348837,0.0,0.0,2.6145220780894873,31.496062992125985,0.0,0.0,0.0,0.0,10.686625853206465,47.61904761904761,0.0,0.0,5.813955857778114,60.60606060606061,2.3164596066660854,24.691358024691358,0.0,0.0,0.0,0.0,0.0,0.0,0.5249343832020997,15.748031496062993
00ad2c2d-9a76-4efc-83cd-8ec7f7797bec,Facebook Sales Strategy Guide,10,4,6,1705439235.121187,1705439580.599355,7.435235019335342,1.623842932489487,0.5626623728997159,1.598812938221093,0.8169158319957761,0.0,0.0,0.813563268047389,0.49993869251050915,1.8782953204696011,4,3,72.1,352.0,3.5958575280796827,5.8664680569332965,0.8080732067447032,1.0,4.516891918374542,5.16,6.5,37.0,0.06936936936936937,0.3333333333333333,0.03333333333333333,0.3333333333333333,13.711270871985159,76.70454545454545,0.0,0.0,0.5681818181818181,5.681818181818182,0.0,0.0,0.0,0.0,2.556818181818182,25.56818181818182,17.46799628942486,73.86363636363637,0.0,0.0,0.0,0.0,0.0,0.0,3.5885899814471243,20.0,44.49334852518082,166.66666666666666,5.1941649899396385,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,166.66666666666666,0.0,0.0,0.28409090909090906,2.840909090909091,0.28409090909090906,2.840909090909091,0.0,0.0,3.020408163265306,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00ce6599-3a2d-40e1-9f12-0d8f95a1136b,Top 10 TikTok Channels,5,2,3,1719688851.884789,1719688884.946544,7.40630833594034,1.9427740410075782,0.5349580560869056,1.6077359624879648,0.9408781647536126,0.0,0.0,0.0,0.4274853516672849,1.5411206540423619,2,0,151.6,272.0,4.252439859288408,5.60947179518496,0.7514116172784904,1.0,5.160782397169394,5.963235294117647,15.6,31.0,0.0,0.0,0.0,0.0,2.487173816895179,5.0,0.0,0.0,37.037593984962406,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.87173816895179,50.0,0.0,0.0,1.0,5.0,0.0,0.0,41.666666666666664,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00f75a85-6423-4906-8814-19fd19a2856a,New chat,2,1,1,1705870645.331844,1705870646.742851,5.007954584048047,0.0,0.6981354810746319,0.0,0.0,0.0,0.0,0.0,0.6981354810746319,0.3724555449008611,1,0,27.5,53.0,2.5437981676161923,3.9889840465642745,0.8962264150943396,1.0,4.599056603773585,4.69811320754717,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.867924528301884,37.73584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
013b2093-6026-46e2-adf4-c60a033d0dd3,"Creating Social Media Platform
",6,3,3,1675013672.837132,1675014086.27954,6.852273216919819,1.312384008926439,0.6708916573771426,1.8832753439859344,0.9245614746530454,0.0,0.0,1.3127006329326028,0.6561741416904424,1.7147228427386079,3,3,140.5,338.0,4.2291849621798185,5.82600010738045,0.7374468064886744,0.9285714285714286,4.638984009416315,5.112426035502959,8.666666666666666,20.0,0.0,0.0,0.0,0.0,5.424063116370809,32.544378698224854,0.0,0.0,28.59960552268244,171.59763313609466,0.0,0.0,0.9861932938856016,5.9171597633136095,0.0,0.0,0.0,0.0,13.769562852927153,32.92181069958848,2.9585798816568047,17.75147928994083,0.0,0.0,0.4930966469428008,2.9585798816568047,36.630017724406436,76.92307692307693,4.654112420741926,12.345679012345679,0.0,0.0,0.4930966469428008,2.9585798816568047,0.0,0.0,1.2982496260088234,4.830917874396135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6699917384916767,8.23045267489712,0.0,0.0
01668add-f236-490a-9b55-ea8c96758b52,New chat,1,1,0,1679496091.79817,1679496091.79817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0,1,65.0,65.0,4.189654742026425,4.189654742026425,0.6923076923076923,0.6923076923076923,4.415384615384616,4.415384615384616,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,15.384615384615385,30.76923076923077,30.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.76923076923077,30.76923076923077,0.0,0.0
01b72ef8-5440-491e-be55-a95b8ad67501,New chat,5,3,2,1674075543.049595,1674075776.557315,5.881332513855412,1.1702811616866031,0.7044827037087196,1.6511599287911896,0.7096425280216568,0.0,0.0,0.9339647293429015,0.7469245381309242,1.369010666069685,2,3,111.6,335.0,4.005897995762025,5.817111159963204,0.7756065250956612,1.0,4.942049963040555,5.875,4.6,12.0,0.0,0.0,0.0,0.0,2.3880597014925375,11.940298507462687,0.0,0.0,4.776119402985075,23.880597014925375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0332808009641234,8.955223880597016,28.588428882260235,62.5,21.792667099286177,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5970149253731344,2.985074626865672,0.0,0.0,6.896551724137931,34.48275862068965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2422360248447204,6.211180124223602,0.0,0.0
0225ba37-ee25-4d8c-aaee-f26f0f35ff15,Indian Restaurant Promo Strategy,18,9,9,1706580883.104611,1706582790.631884,4.147391791809418,2.352368007132581,0.8189595002158615,1.7757797852739148,0.9420185147293042,0.0,0.0,1.9765666138308378,0.8138992175125286,1.6427241735120492,9,5,75.94444444444444,412.0,3.5105220311572256,6.023447592961033,0.8235578209684866,1.0,5.080841863033964,7.057142857142857,5.0,36.0,0.0,0.0,0.02244668911335578,0.2222222222222222,26.907991611709754,285.7142857142857,0.4208754208754209,7.575757575757576,1.6181229773462784,29.12621359223301,0.0,0.0,0.0,0.0,0.6742179072276159,12.135922330097086,3.7756202804746497,67.96116504854369,1.693121693121693,17.142857142857142,0.0,0.0,0.0,0.0,0.31746031746031744,5.714285714285714,1.6443834243186994,22.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5873015873015872,28.57142857142857,0.0,0.0,0.31746031746031744,5.714285714285714,0.0,0.0,0.4208754208754209,7.575757575757576,0.2696871628910464,4.854368932038835,0.0,0.0,0.0,0.0,0.0,0.0,1.1616161616161618,13.333333333333334,0.0,0.0
022b0b90-3546-4f6a-83ea-8d80394162c1,Prep Talk with Sam.,2,1,1,1718023908.110146,1718023968.217955,7.598041098774433,0.0,0.6737790875225188,0.0,0.0,1.0,0.0,0.6719168441939914,0.6737790875225188,1.3277872844211926,1,1,325.5,427.0,5.737611798893108,6.059123195581797,0.5380196135831382,0.5491071428571429,4.750695257611241,4.791569086651054,18.5,24.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.08333333333333333,46.8384074941452,93.6768149882904,0.0,0.0,4.464285714285714,8.928571428571429,0.0,0.0,0.0,0.0,2.34192037470726,4.68384074941452,30.44496487119438,60.88992974238876,0.0,0.0,0.0,0.0,0.0,0.0,1.17096018735363,2.34192037470726,4.464285714285714,8.928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.428864168618269,16.393442622950822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232142857142857,4.464285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
