combination,rows,unique_conversations
transition+trajectory,293,89
transition+topology,610,163
transition+recovery,206,76
transition+meta,108,53
transition+coupling,52,22
transition+trajectory+topology,189,58
transition+trajectory+topology+meta,23,12
transition+trajectory+topology+meta+coupling,5,3
reconstruction+symbolic_reconstruction,1727,235
genealogy+generation,11,8
