from_state,to_state,count,p_to_given_from,global_fraction
constraints,hierarchy,49,0.05438401775804662,0.0006914653420636713
meta,persistence,48,0.035740878629932984,0.0006773538044705351
genealogy,none,47,0.6714285714285714,0.000663242266877399
persistence,meta,46,0.021316033364226137,0.0006491307292842628
hierarchy,cross_domain,44,0.005889439164770445,0.0006209076540979905
cross_domain,hierarchy,44,0.10208816705336426,0.0006209076540979905
hierarchy,generativity,43,0.0057555882746620265,0.0006067961165048543
generativity,persistence,42,0.03304484657749803,0.0005926845789117183
generativity,hierarchy,42,0.03304484657749803,0.0005926845789117183
robustness,robustness,40,0.09592326139088729,0.000564461503725446
hierarchy,constraints,39,0.005220184714228349,0.0005503499661323098
topology,persistence,38,0.02640722724113968,0.0005362384285391736
persistence,constraints,38,0.017608897126969416,0.0005362384285391736
constraints,topology,36,0.03995560488346282,0.0005080153533529013
composition,symbolic,35,0.09776536312849161,0.0004939038157597651
reconstruction,trajectory,34,0.021725239616613417,0.00047979227816662904
meta,topology,34,0.02531645569620253,0.00047979227816662904
trajectory,hierarchy,34,0.03130755064456722,0.00047979227816662904
symbolic,cross_domain,34,0.0044064282011404875,0.00047979227816662904
trajectory,persistence,34,0.03130755064456722,0.00047979227816662904
none,cross_model,33,0.001090836969456565,0.0004656807405734929
hierarchy,trajectory,33,0.0044170793735778344,0.0004656807405734929
symbolic,constraints,32,0.00414722654224987,0.0004515692029803567
constraints,persistence,32,0.03551609322974473,0.0004515692029803567
symbolic,compression,32,0.00414722654224987,0.0004515692029803567
persistence,topology,32,0.014828544949026877,0.0004515692029803567
trajectory,generativity,31,0.0285451197053407,0.00043745766538722056
persistence,reconstruction,31,0.014365152919369786,0.00043745766538722056
topology,constraints,30,0.020847810979847115,0.00042334612779408446
reconstruction,persistence,30,0.019169329073482427,0.00042334612779408446
composition,meta,29,0.08100558659217877,0.0004092345902009483
cross_model,none,29,0.8529411764705882,0.0004092345902009483
persistence,trajectory,29,0.013438368860055607,0.0004092345902009483
topology,meta,29,0.020152883947185545,0.0004092345902009483
recursion,trajectory,28,0.005475166210402816,0.00039512305260781214
constraints,symbolic,28,0.03107658157602664,0.00039512305260781214
compression,symbolic,28,0.11618257261410789,0.00039512305260781214
topology,information,27,0.018763029881862403,0.000381011515014676
trajectory,recursion,27,0.024861878453038673,0.000381011515014676
coupling,coupling,27,0.07941176470588235,0.000381011515014676
cross_domain,symbolic,27,0.06264501160092807,0.000381011515014676
symbolic,composition,26,0.00336962156557802,0.0003668999774215399
control,robustness,26,0.0036414565826330533,0.0003668999774215399
robustness,control,26,0.06235011990407674,0.0003668999774215399
information,topology,26,0.017139090309822018,0.0003668999774215399
generativity,trajectory,25,0.01966955153422502,0.0003527884398284037
meta,generativity,25,0.018615040953090096,0.0003527884398284037
meta,composition,24,0.017870439314966492,0.00033867690223526756
constraints,meta,24,0.026637069922308545,0.00033867690223526756
topology,generativity,24,0.01667824878387769,0.00033867690223526756
trajectory,reconstruction,23,0.02117863720073665,0.0003245653646421314
information,meta,23,0.015161502966381015,0.0003245653646421314
information,generativity,23,0.015161502966381015,0.0003245653646421314
constraints,recursion,23,0.025527192008879023,0.0003245653646421314
generativity,recursion,22,0.01730920535011802,0.00031045382704899524
hierarchy,robustness,22,0.0029447195823852227,0.00031045382704899524
trajectory,meta,20,0.01841620626151013,0.000282230751862723
recursion,generativity,20,0.003910833007430583,0.000282230751862723
compression,hierarchy,20,0.08298755186721991,0.000282230751862723
control,composition,20,0.0028011204481792717,0.000282230751862723
generativity,information,20,0.015735641227380016,0.000282230751862723
recursion,constraints,20,0.003910833007430583,0.000282230751862723
meta,constraints,20,0.014892032762472078,0.000282230751862723
meta,information,19,0.014147431124348473,0.0002681192142695868
composition,control,19,0.05307262569832402,0.0002681192142695868
recursion,coupling,18,0.0035197497066875244,0.00025400767667645065
meta,trajectory,18,0.01340282948622487,0.00025400767667645065
reconstruction,generativity,18,0.011501597444089457,0.00025400767667645065
information,trajectory,18,0.011865524060646011,0.00025400767667645065
information,reconstruction,18,0.011865524060646011,0.00025400767667645065
generativity,reconstruction,18,0.014162077104642014,0.00025400767667645065
control,coupling,18,0.0025210084033613447,0.00025400767667645065
reconstruction,meta,17,0.010862619808306708,0.00023989613908331452
information,constraints,17,0.01120632827949901,0.00023989613908331452
symbolic,coupling,17,0.0022032141005702438,0.00023989613908331452
coupling,recursion,17,0.05,0.00023989613908331452
topology,reconstruction,17,0.0118137595552467,0.00023989613908331452
constraints,trajectory,17,0.018867924528301886,0.00023989613908331452
coupling,hierarchy,16,0.047058823529411764,0.00022578460149017836
hierarchy,composition,16,0.0021416142417347074,0.00022578460149017836
coupling,symbolic,16,0.047058823529411764,0.00022578460149017836
control,cross_domain,16,0.002240896358543417,0.00022578460149017836
hierarchy,coupling,16,0.0021416142417347074,0.00022578460149017836
meta,reconstruction,16,0.011913626209977662,0.00022578460149017836
hierarchy,compression,16,0.0021416142417347074,0.00022578460149017836
generativity,topology,16,0.012588512981904013,0.00022578460149017836
cross_domain,control,15,0.03480278422273782,0.00021167306389704223
reconstruction,information,15,0.009584664536741214,0.00021167306389704223
coupling,control,15,0.04411764705882353,0.00021167306389704223
constraints,generativity,15,0.016648168701442843,0.00021167306389704223
recursion,cross_domain,15,0.002933124755572937,0.00021167306389704223
reconstruction,topology,14,0.008945686900958467,0.00019756152630390607
robustness,persistence,14,0.03357314148681055,0.00019756152630390607
generativity,constraints,14,0.011014948859166011,0.00019756152630390607
generativity,meta,14,0.011014948859166011,0.00019756152630390607
symbolic,robustness,13,0.00168481078278901,0.00018344998871076994
control,compression,13,0.0018207282913165266,0.00018344998871076994
robustness,symbolic,13,0.03117505995203837,0.00018344998871076994
constraints,information,13,0.014428412874583796,0.00018344998871076994
generativity,control,13,0.010228166797797011,0.00018344998871076994
persistence,composition,12,0.005560704355885079,0.00016933845111763378
meta,cross_domain,12,0.008935219657483246,0.00016933845111763378
reconstruction,constraints,12,0.0076677316293929714,0.00016933845111763378
compression,control,12,0.04979253112033195,0.00016933845111763378
compression,compression,12,0.04979253112033195,0.00016933845111763378
control,generativity,12,0.0016806722689075631,0.00016933845111763378
recursion,compression,11,0.0021509581540868207,0.00015522691352449762
trajectory,topology,11,0.010128913443830571,0.00015522691352449762
coupling,generativity,11,0.03235294117647059,0.00015522691352449762
cross_domain,information,11,0.025522041763341066,0.00015522691352449762
trajectory,information,11,0.010128913443830571,0.00015522691352449762
cross_domain,recursion,10,0.02320185614849188,0.0001411153759313615
topology,composition,10,0.006949270326615705,0.0001411153759313615
robustness,hierarchy,10,0.023980815347721823,0.0001411153759313615
composition,hierarchy,10,0.027932960893854747,0.0001411153759313615
cross_domain,topology,9,0.02088167053364269,0.00012700383833822533
robustness,reconstruction,9,0.02158273381294964,0.00012700383833822533
cross_domain,persistence,8,0.018561484918793503,0.00011289230074508918
constraints,reconstruction,8,0.008879023307436182,0.00011289230074508918
trajectory,constraints,8,0.007366482504604052,0.00011289230074508918
cross_domain,meta,8,0.018561484918793503,0.00011289230074508918
generativity,coupling,8,0.006294256490952006,0.00011289230074508918
reconstruction,robustness,8,0.005111821086261981,0.00011289230074508918
persistence,cross_domain,8,0.0037071362372567192,0.00011289230074508918
meta,compression,8,0.005956813104988831,0.00011289230074508918
composition,information,8,0.0223463687150838,0.00011289230074508918
trajectory,robustness,7,0.006445672191528545,9.878076315195304e-05
persistence,robustness,7,0.003243744207599629,9.878076315195304e-05
coupling,persistence,7,0.020588235294117647,9.878076315195304e-05
coupling,meta,7,0.020588235294117647,9.878076315195304e-05
trajectory,cross_domain,7,0.006445672191528545,9.878076315195304e-05
composition,generativity,7,0.019553072625698324,9.878076315195304e-05
coupling,topology,6,0.01764705882352941,8.466922555881689e-05
genealogy,hierarchy,6,0.08571428571428572,8.466922555881689e-05
reconstruction,coupling,6,0.0038338658146964857,8.466922555881689e-05
topology,cross_domain,6,0.004169562195969423,8.466922555881689e-05
coupling,trajectory,6,0.01764705882352941,8.466922555881689e-05
trajectory,coupling,6,0.0055248618784530384,8.466922555881689e-05
information,cross_domain,6,0.003955174686882004,8.466922555881689e-05
information,robustness,6,0.003955174686882004,8.466922555881689e-05
composition,persistence,6,0.01675977653631285,8.466922555881689e-05
topology,trajectory,6,0.004169562195969423,8.466922555881689e-05
constraints,cross_domain,5,0.005549389567147614,7.055768796568074e-05
reconstruction,cross_domain,5,0.003194888178913738,7.055768796568074e-05
composition,trajectory,5,0.013966480446927373,7.055768796568074e-05
robustness,recursion,5,0.011990407673860911,7.055768796568074e-05
meta,coupling,5,0.0037230081906180195,7.055768796568074e-05
compression,constraints,5,0.02074688796680498,7.055768796568074e-05
information,coupling,5,0.0032959789057350032,7.055768796568074e-05
generativity,composition,5,0.003933910306845004,7.055768796568074e-05
robustness,information,5,0.011990407673860911,7.055768796568074e-05
persistence,coupling,5,0.0023169601482854493,7.055768796568074e-05
recursion,composition,5,0.0009777082518576457,7.055768796568074e-05
topology,coupling,4,0.002779708130646282,5.644615037254459e-05
constraints,robustness,4,0.004439511653718091,5.644615037254459e-05
information,compression,4,0.0026367831245880024,5.644615037254459e-05
cross_domain,reconstruction,4,0.009280742459396751,5.644615037254459e-05
composition,recursion,4,0.0111731843575419,5.644615037254459e-05
meta,robustness,4,0.0029784065524944155,5.644615037254459e-05
compression,meta,4,0.016597510373443983,5.644615037254459e-05
information,composition,4,0.0026367831245880024,5.644615037254459e-05
genealogy,symbolic,4,0.05714285714285714,5.644615037254459e-05
persistence,compression,4,0.0018535681186283596,5.644615037254459e-05
reconstruction,composition,4,0.0025559105431309905,5.644615037254459e-05
hierarchy,genealogy,4,0.0005354035604336768,5.644615037254459e-05
compression,recursion,4,0.016597510373443983,5.644615037254459e-05
compression,reconstruction,3,0.012448132780082987,4.2334612779408445e-05
recursion,robustness,3,0.0005866249511145874,4.2334612779408445e-05
topology,robustness,3,0.0020847810979847115,4.2334612779408445e-05
trajectory,composition,3,0.0027624309392265192,4.2334612779408445e-05
coupling,constraints,3,0.008823529411764706,4.2334612779408445e-05
robustness,generativity,3,0.007194244604316547,4.2334612779408445e-05
cross_domain,constraints,3,0.0069605568445475635,4.2334612779408445e-05
composition,reconstruction,3,0.008379888268156424,4.2334612779408445e-05
composition,topology,3,0.008379888268156424,4.2334612779408445e-05
compression,trajectory,3,0.012448132780082987,4.2334612779408445e-05
reconstruction,compression,3,0.0019169329073482429,4.2334612779408445e-05
constraints,compression,3,0.003329633740288568,4.2334612779408445e-05
coupling,cross_domain,3,0.008823529411764706,4.2334612779408445e-05
cross_domain,composition,2,0.004640371229698376,2.8223075186272295e-05
genealogy,genealogy,2,0.02857142857142857,2.8223075186272295e-05
compression,coupling,2,0.008298755186721992,2.8223075186272295e-05
cross_domain,coupling,2,0.004640371229698376,2.8223075186272295e-05
cross_model,cross_model,2,0.058823529411764705,2.8223075186272295e-05
generativity,cross_domain,2,0.0015735641227380016,2.8223075186272295e-05
topology,compression,2,0.001389854065323141,2.8223075186272295e-05
compression,topology,2,0.008298755186721992,2.8223075186272295e-05
composition,cross_domain,2,0.00558659217877095,2.8223075186272295e-05
composition,constraints,2,0.00558659217877095,2.8223075186272295e-05
constraints,composition,2,0.0022197558268590455,2.8223075186272295e-05
generativity,genealogy,2,0.0015735641227380016,2.8223075186272295e-05
cross_domain,compression,2,0.004640371229698376,2.8223075186272295e-05
robustness,meta,2,0.004796163069544364,2.8223075186272295e-05
recursion,genealogy,2,0.00039108330074305825,2.8223075186272295e-05
genealogy,meta,2,0.02857142857142857,2.8223075186272295e-05
compression,information,2,0.008298755186721992,2.8223075186272295e-05
compression,generativity,2,0.008298755186721992,2.8223075186272295e-05
generativity,compression,2,0.0015735641227380016,2.8223075186272295e-05
symbolic,genealogy,2,0.0002592016588906169,2.8223075186272295e-05
coupling,information,2,0.0058823529411764705,2.8223075186272295e-05
robustness,trajectory,2,0.004796163069544364,2.8223075186272295e-05
genealogy,generativity,2,0.02857142857142857,2.8223075186272295e-05
reconstruction,cross_model,1,0.0006389776357827476,1.4111537593136148e-05
coupling,compression,1,0.0029411764705882353,1.4111537593136148e-05
genealogy,control,1,0.014285714285714285,1.4111537593136148e-05
coupling,reconstruction,1,0.0029411764705882353,1.4111537593136148e-05
persistence,genealogy,1,0.0004633920296570899,1.4111537593136148e-05
constraints,coupling,1,0.0011098779134295228,1.4111537593136148e-05
compression,composition,1,0.004149377593360996,1.4111537593136148e-05
meta,cross_model,1,0.0007446016381236039,1.4111537593136148e-05
topology,genealogy,1,0.0006949270326615705,1.4111537593136148e-05
genealogy,reconstruction,1,0.014285714285714285,1.4111537593136148e-05
genealogy,topology,1,0.014285714285714285,1.4111537593136148e-05
cross_domain,robustness,1,0.002320185614849188,1.4111537593136148e-05
symbolic,cross_model,1,0.00012960082944530845,1.4111537593136148e-05
cross_model,hierarchy,1,0.029411764705882353,1.4111537593136148e-05
information,genealogy,1,0.0006591957811470006,1.4111537593136148e-05
genealogy,trajectory,1,0.014285714285714285,1.4111537593136148e-05
cross_domain,trajectory,1,0.002320185614849188,1.4111537593136148e-05
genealogy,persistence,1,0.014285714285714285,1.4111537593136148e-05
genealogy,robustness,1,0.014285714285714285,1.4111537593136148e-05
genealogy,cross_model,1,0.014285714285714285,1.4111537593136148e-05
cross_model,genealogy,1,0.029411764705882353,1.4111537593136148e-05
hierarchy,cross_model,1,0.0001338508901084192,1.4111537593136148e-05
meta,genealogy,1,0.0007446016381236039,1.4111537593136148e-05
trajectory,genealogy,1,0.0009208103130755065,1.4111537593136148e-05
composition,compression,1,0.002793296089385475,1.4111537593136148e-05
robustness,constraints,1,0.002398081534772182,1.4111537593136148e-05
robustness,cross_domain,1,0.002398081534772182,1.4111537593136148e-05
compression,robustness,1,0.004149377593360996,1.4111537593136148e-05
compression,persistence,1,0.004149377593360996,1.4111537593136148e-05
coupling,robustness,1,0.0029411764705882353,1.4111537593136148e-05
information,cross_model,1,0.0006591957811470006,1.4111537593136148e-05
cross_model,information,1,0.029411764705882353,1.4111537593136148e-05
