MODEL,REFERENCE,QUANTILE,THRESHOLD,N_LINEAGE
SURFACE_FREE,MEDIAN,0.5,0.9943452946230028,137
SURFACE_FREE,Q75,0.75,0.9994784537368896,137
SURFACE_FREE,Q90,0.9,0.9999006524555474,137
SURFACE_FREE,MAX,1.0,1.0,137
R1_COMPATIBLE,MEDIAN,0.5,0.9955470218670169,137
R1_COMPATIBLE,Q75,0.75,0.9996146410113524,137
R1_COMPATIBLE,Q90,0.9,0.9999685862252348,137
R1_COMPATIBLE,MAX,1.0,0.9999999999821603,137
