MODEL,JOBLIB_SHA256,MAX_ABS_DIFF_VS_FROZEN_BR1,PASS
R1_COMPATIBLE,e5e7a55e176caa1f6b36baa9abca505e02724e47e50ed8f5e3356f4598dbcc9c,2.220446049250313e-16,True
SURFACE_FREE,f80ed5be818e2eea05faa9b6972e83b9a7ad35b856b225034a7b6b4ac32c535c,3.3306690738754696e-16,True
