lesion,condition,mean_fingerprint,median_fingerprint
AUTHENTIC,A0_AUTHENTIC,8.035,8.25
SINGLE_DIRECTION,D_DIRECTION_REVERSED,0.315,0.0
SINGLE_PRESERVATION,P_PRESERVATION_ABLATED,4.09,4.0
DOUBLE_DIRECTION_META,DM_DIRECTION_META_DAMAGE,0.2875,0.0
DOUBLE_DIRECTION_PRESERVATION,DP_DIRECTION_PRESERVATION_DAMAGE,1.3625,1.0
DOUBLE_ORDER_PRESERVATION,OP_ORDER_PRESERVATION_DAMAGE,0.7825,0.0
DOUBLE_PRESERVATION_TERMINAL,PT_PRESERVATION_TERMINAL_DAMAGE,1.1925,0.875
