,SEQ_ACTIVE_EDGE_COHERENCE,PLUS_SEQ_COHERENCE,PLUS_REACHABILITY,MINUS_SEQ_CONFLICT,CODE_SEQ_COHERENCE,CODE_CONNECTEDNESS,FINAL_RECIPROCITY,FINAL_SCC_COUNT,FINAL_LARGEST_SCC_FRAC,FINAL_TRANSITIVITY,FINAL_IN_DEGREE_SD,FINAL_OUT_DEGREE_SD,FINAL_SPECTRAL_RADIUS,FINAL_TWO_CYCLES,FINAL_THREE_CYCLES,FINAL_REACHABILITY_FRAC,FINAL_MEAN_REACHABLE_PATH
SEQ_ACTIVE_EDGE_COHERENCE,16.41102710380613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLUS_SEQ_COHERENCE,0.0,8.610227389396734,-1.2566793979491744,-1.4112732973117663e-14,8.215960457492683e-16,-0.03275615346460908,-0.5400639942304112,-1.500611248102633,1.5006112481026586,-1.2114561252450644,-0.2666105059050147,1.9926250263661751,3.8418710366454363,-0.5400639942304298,0.18434399600194928,1.1879464600569107,1.6163983276608802
PLUS_REACHABILITY,0.0,-1.2566793979491748,13.420099908157178,-1.5492688454418844e-15,-3.571716346695262e-16,0.007927306934664518,0.522043862509463,-1.992753982913876,1.9927539829138032,0.3177263815794961,-1.5030874180179525,-2.8238789586369126,-2.08341175611141,0.5220438625094657,0.27221668518568354,2.102210437456201,2.518217958884743
MINUS_SEQ_CONFLICT,0.0,-1.4112768091042142e-14,-1.5481898752536683e-15,16.411027103806138,6.072742792123535e-16,5.00664368103978e-18,-1.9369084732232318e-14,-2.335256988793351e-15,-6.415750363226799e-16,5.2585097600261535e-15,-5.559062985161838e-16,6.042955797259889e-15,-1.0775689575103274e-14,2.1860301604823645e-14,-7.228023506532012e-16,-5.8197334285004714e-15,3.345773688853862e-17
CODE_SEQ_COHERENCE,0.0,8.228186972480685e-16,-3.573724910643464e-16,5.141732167445178e-16,16.41102710380624,3.31239216176232e-17,-6.322778925843416e-14,4.861661073766877e-15,-5.304027486474428e-15,-7.18050472590433e-15,-6.262149206961672e-15,-7.38171979860888e-15,-3.3740010171821355e-16,6.388748495841656e-14,1.348103784624606e-15,-2.3952441733956008e-15,-4.645841782375386e-15
CODE_CONNECTEDNESS,0.0,-0.03275615346460907,0.007927306934664511,5.00664368103971e-18,3.312392161762322e-17,1.035146020369365,-0.017101390847133625,-0.028164085074838804,0.028164085074843005,0.026399532836634244,0.12099045836150188,0.055683271528169064,0.05079966597757215,-0.01710139084713438,-0.04903091758004929,0.02256618277348466,0.01513595941449966
FINAL_RECIPROCITY,0.0,-0.5400639942304113,0.522043862509463,-1.9572326279237954e-14,-6.334810680266216e-14,-0.017101390847133628,8.71570393295831,-0.3599131841585222,0.3599131841585022,-0.24897042417775217,0.04402484643580929,0.6373432493041387,-1.1481738029040574,-7.695323170847807,0.23580841716583326,0.23788900128252308,-0.14757743604038806
FINAL_SCC_COUNT,0.0,-1.5006112481026328,-1.9927539829138756,-2.353761054040354e-15,4.8916554658018325e-15,-0.0281640850748388,-0.3599131841585221,13.912851843754225,2.498175260051891,-0.09056382875722406,-1.4937216766683956,-2.0678862680279306,0.8071510710088031,-0.3599131841585069,-0.5779964034798228,2.468819424239337,1.9990378046890278
FINAL_LARGEST_SCC_FRAC,0.0,1.5006112481026586,1.9927539829138032,-7.482470425929278e-16,-5.32158459331457e-15,0.028164085074843005,0.3599131841585022,2.498175260051891,13.912851843754158,0.09056382875720635,1.4937216766684038,2.0678862680278525,-0.8071510710087463,0.3599131841585007,0.5779964034798104,-2.4688194242394306,-1.9990378046890047
FINAL_TRANSITIVITY,0.0,-1.2114561252450646,0.3177263815794962,5.258509760026375e-15,-7.180504725904359e-15,0.02639953283663425,-0.24897042417775217,-0.09056382875722419,0.09056382875720637,3.989322452340069,-1.433114066845337,0.08465324759167459,1.2212853303844764,-0.24897042417776344,-1.1211896747672423,-0.004118965168126516,0.25022478042876767
FINAL_IN_DEGREE_SD,0.0,-0.266610505905015,-1.5030874180179525,-5.559062985161931e-16,-6.26214920696165e-15,0.12099045836150188,0.04402484643580932,-1.4937216766683954,1.4937216766684038,-1.433114066845337,10.034507820871626,-0.3042992060532552,0.0348776931599105,0.044024846435804656,0.8858141570718259,1.557005427475973,2.409907805220733
FINAL_OUT_DEGREE_SD,0.0,1.9926250263661756,-2.8238789586369126,6.042955797259934e-15,-7.381719798608903e-15,0.055683271528169064,0.6373432493041385,-2.0678862680279306,2.0678862680278525,0.08465324759167427,-0.30429920605325494,10.021418897010129,-2.7196422370878177,0.6373432493041127,0.551208840772686,2.3275866106998975,1.3405321612310748
FINAL_SPECTRAL_RADIUS,0.0,3.8418710366454363,-2.08341175611141,-1.0776193448374471e-14,-3.355570778701207e-16,0.05079966597757216,-1.1481738029040571,0.8071510710088033,-0.8071510710087465,1.2212853303844766,0.034877693159910496,-2.719642237087818,5.921090573480576,-1.1481738029040685,-0.9545541978591539,-0.5046135205940954,0.7184975339367257
FINAL_TWO_CYCLES,0.0,-0.5400639942304297,0.5220438625094656,2.2140687842608164e-14,6.412655644140138e-14,-0.017101390847134385,-7.695323170847807,-0.35991318415850676,0.3599131841585007,-0.24897042417776338,0.044024846435804614,0.6373432493041126,-1.1481738029040687,8.715703932958318,0.23580841716583575,0.23788900128251136,-0.14757743604040294
FINAL_THREE_CYCLES,0.0,0.18434399600194928,0.2722166851856834,-7.229953908417964e-16,1.3481744514710362e-15,-0.04903091758004918,0.2358084171658332,-0.5779964034798227,0.5779964034798103,-1.1211896747672423,0.8858141570718258,0.5512088407726858,-0.9545541978591536,0.23580841716583575,1.5280170303039184,0.44333912105316564,-0.18336951848783006
FINAL_REACHABILITY_FRAC,0.0,1.187946460056911,2.1022104374562014,-5.81306815096521e-15,-2.385157661025637e-15,0.02256618277348466,0.23788900128252302,2.4688194242393378,-2.4688194242394306,-0.0041189651681266025,1.5570054274759735,2.3275866106998975,-0.5046135205940951,0.23788900128251136,0.4433391210531657,13.9390931938109,-2.06344324778056
FINAL_MEAN_REACHABLE_PATH,0.0,1.6163983276608798,2.518217958884744,3.3457736889994736e-17,-4.645841782375934e-15,0.015135959414499668,-0.14757743604038792,1.9990378046890276,-1.9990378046890045,0.2502247804287676,2.4099078052207323,1.3405321612310743,0.7184975339367248,-0.14757743604040302,-0.18336951848783023,-2.06344324778056,13.580538125287053
