CLASSIFIER,PARTITION,N,ROC_AUC,ACCURACY
BROAD,DEVELOPMENT,1156,0.9735647579714999,0.9178200692041523
BROAD,CONFIRMATION,510,0.9711111111111111,0.9117647058823529
BROAD,FINAL_HOLDOUT,544,0.9646967405913979,0.9080882352941176
HARD_CONTROLS,DEVELOPMENT,204,1.0,1.0
HARD_CONTROLS,CONFIRMATION,90,1.0,1.0
HARD_CONTROLS,FINAL_HOLDOUT,96,1.0,0.9895833333333334
