group,N,mean_edges,median_edges,max_edges,ge4,ge4_rate,ge5,ge5_rate,ge6,ge6_rate,full7,full7_rate
RSOS_ALL,42016,0.9288128332063975,0.0,7,1707,0.040627380045696874,1387,0.03301123381568926,202,0.004807692307692308,175,0.004165079969535415
EXTERNAL_ALL,180877,0.13323971538669924,0.0,7,407,0.00225014789055546,265,0.0014650840073641203,34,0.0001879730424542645,34,0.0001879730424542645
RSOS_MATCHED,10000,0.9281,0.0,7,423,0.0423,350,0.035,52,0.0052,45,0.0045
EXTERNAL_MATCHED,10000,0.1436,0.0,4,5,0.0005,0,0.0,0,0.0,0,0.0
EXTERNAL_HARD_TOP500,500,4.48,5.0,7,407,0.814,265,0.53,34,0.068,34,0.068
