EXPERIMENT_ID,DESTINATION_BUCKET,ELIGIBLE_FILE_COUNT
EXP-007,00_CONTROL,4
EXP-007,02_INPUTS,2
EXP-007,04_RAW,6
EXP-007,05_OUTPUTS,6
EXP-007,09_FREEZE,10
EXP-007,UNCLASSIFIED,7
