FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\02_RAW_API_RESPONSES.jsonl,02_RAW_API_RESPONSES.jsonl,.jsonl,6497179,2026-09-10T22:16:34.6740731Z,2026-09-10T16:23:52.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\03_REQUEST_METADATA.csv,03_REQUEST_METADATA.csv,.csv,1482847,2026-09-10T22:16:34.7725209Z,2026-09-10T16:34:46.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,04_FINGERPRINT_SCORES.csv,.csv,563940,2026-09-10T22:16:34.7915677Z,2026-09-10T16:34:48.0000000Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,05_ABLATION_RESULTS.json,.json,136,2026-09-10T22:16:34.8190770Z,2026-09-10T16:34:48.0000000Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,06_CONDITION_SUMMARY.csv,.csv,563,2026-09-10T22:16:34.8236163Z,2026-09-10T16:34:48.0000000Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\07_STATISTICAL_TESTS.json,07_STATISTICAL_TESTS.json,.json,2800,2026-09-10T22:16:34.8448894Z,2026-09-10T16:34:48.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\08_FAILURES_RETRIES.jsonl,08_FAILURES_RETRIES.jsonl,.jsonl,245873,2026-09-10T22:16:34.8548823Z,2026-09-10T16:23:02.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,10_RESULT_HASHES.csv,.csv,1364,2026-09-10T22:16:34.8659391Z,2026-09-10T16:34:48.0000000Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,11_RUN_SUMMARY.json,.json,5725,2026-09-10T22:16:34.8728392Z,2026-09-10T16:34:48.0000000Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,12_FINAL_REPORT.txt,.txt,4306,2026-09-10T22:16:34.8728392Z,2026-09-10T16:34:48.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\API_FINGERPRINT_EXPERIMENT_V1_UPLOAD.zip,API_FINGERPRINT_EXPERIMENT_V1_UPLOAD.zip,.zip,2447925,2026-09-10T22:16:34.8970273Z,2026-09-10T16:34:48.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,RUN_API_FINGERPRINT_V1.py,.py,31588,2026-09-10T22:16:34.9605753Z,2026-09-10T16:34:40.0000000Z,RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
