SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
35,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\00_CONTROL\SOURCE\01_PROMPT_MANIFEST.csv,00_CONTROL,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,4503233,1789058087357607700,6a755c68720599a28e439757c762cbdb1f9ccb7df74f479d6c58cdb502e9b886,6a755c68720599a28e439757c762cbdb1f9ccb7df74f479d6c58cdb502e9b886,True,COPIED_AND_VERIFIED,
36,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\01_PROTOCOL\SOURCE\00_PREREGISTRATION.json,01_PROTOCOL,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,1781,1789058087373232000,db269f2d88445dc8b2088c44f9f898def4db950aeb74925734a443a065e1ee02,db269f2d88445dc8b2088c44f9f898def4db950aeb74925734a443a065e1ee02,True,COPIED_AND_VERIFIED,
37,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\03_RUNNER\SOURCE\RUN_API_FINGERPRINT_V1.py,03_RUNNER,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,31588,1789058080788330100,06f8becc2373a3b959e834933709f06f9d5ba972dda204f3e0c28e84df275bac,06f8becc2373a3b959e834933709f06f9d5ba972dda204f3e0c28e84df275bac,True,COPIED_AND_VERIFIED,
38,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\02_RAW_API_RESPONSES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\04_RAW\SOURCE\02_RAW_API_RESPONSES.jsonl,04_RAW,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,6497179,1789057433931163100,535fabb3aa3a673b304227bc38360426f5eadc80da9894479670bfacf3f44f95,535fabb3aa3a673b304227bc38360426f5eadc80da9894479670bfacf3f44f95,True,COPIED_AND_VERIFIED,
39,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\03_REQUEST_METADATA.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\04_RAW\SOURCE\03_REQUEST_METADATA.csv,04_RAW,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,1482847,1789058087969290400,e19a8eb8446cd1beda2cb85e0d25f4ff4e014484117af1b1b551d8808530d511,e19a8eb8446cd1beda2cb85e0d25f4ff4e014484117af1b1b551d8808530d511,True,COPIED_AND_VERIFIED,
40,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\05_OUTPUTS\SOURCE\04_FINGERPRINT_SCORES.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,563940,1789058088032179600,749445ad7bfa7761ab3ea71ce0bb5bc81d3b227ed8bbea27c9a72349cf092e5a,749445ad7bfa7761ab3ea71ce0bb5bc81d3b227ed8bbea27c9a72349cf092e5a,True,COPIED_AND_VERIFIED,
41,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\05_OUTPUTS\SOURCE\05_ABLATION_RESULTS.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,136,1789058088095057800,d849789308673608b57934abf1a0a9e31124fb6589fff78105eeacdddfb02eb2,d849789308673608b57934abf1a0a9e31124fb6589fff78105eeacdddfb02eb2,True,COPIED_AND_VERIFIED,
42,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\05_OUTPUTS\SOURCE\06_CONDITION_SUMMARY.csv,05_OUTPUTS,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,563,1789058088063427400,a6a34f975f94d5284f4f4522fdb8749cefb1eae90d369b247abd6238ca3cbc0c,a6a34f975f94d5284f4f4522fdb8749cefb1eae90d369b247abd6238ca3cbc0c,True,COPIED_AND_VERIFIED,
43,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\05_OUTPUTS\SOURCE\11_RUN_SUMMARY.json,05_OUTPUTS,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,5725,1789058088110689200,fbd4a8f39d91e33cdeaedf4df9c9c8a5c35f89ca53c093cd8347b2edde2460fc,fbd4a8f39d91e33cdeaedf4df9c9c8a5c35f89ca53c093cd8347b2edde2460fc,True,COPIED_AND_VERIFIED,
44,EXP-003,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\08_FAILURES_RETRIES.jsonl,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\004_EXP-003__API_Fingerprint_Experiment_V1\06_DIAGNOSTIC\SOURCE\08_FAILURES_RETRIES.jsonl,06_DIAGNOSTIC,C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1,245873,1789057383884933700,fc9b125e0c3629b4e1298af40603c25e8d01ba1ad24d3c4b43d43e84febefda4,fc9b125e0c3629b4e1298af40603c25e8d01ba1ad24d3c4b43d43e84febefda4,True,COPIED_AND_VERIFIED,
