SOURCE,PATH,EXPECTED_SHA256,ACTUAL_SHA256,PASS,UTC
ORIGINAL_FREEZE_RECORD,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\INPUTS\V12_ORIGINAL_FREEZE\00_V12_FREEZE_RECORD.txt,352B5055AA16CA746568A36678E9FBF535D522F58D3EB6D15CB9C450F3B3ED71,352B5055AA16CA746568A36678E9FBF535D522F58D3EB6D15CB9C450F3B3ED71,True,2026-09-13T18:22:04.259674+00:00
ORIGINAL_MISSING_CELLS,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\INPUTS\V12_ORIGINAL_FREEZE\15_MISSING_CELLS.csv,D1B7A3A4D188135D111E0945087365599C874E7D48181098432D24AE5DC4D2B9,D1B7A3A4D188135D111E0945087365599C874E7D48181098432D24AE5DC4D2B9,True,2026-09-13T18:22:04.268280+00:00
ORIGINAL_V12_RUNNER,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\INPUTS\V12_ORIGINAL_FREEZE\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4.py,B9A293AF98EDBF774C6912691E2A00CD4042DF93BBB50DB31BC8540E119337E7,B9A293AF98EDBF774C6912691E2A00CD4042DF93BBB50DB31BC8540E119337E7,True,2026-09-13T18:22:04.282676+00:00
