provider,condition,cell_id,pair_index,label,RAW_CHARS,RAW_TURNS,SYSTEM_NAME_HITS,JOINT_MULTILAYER_V2_MARGIN,OPERATOR_RELATIONAL_V2_MARGIN,SURFACE_FREE_MARGIN,R1_COMPATIBLE_MARGIN,WINDOW8_MARGIN,WINDOW12_MARGIN
OPENAI,BASELINE,948353fa77462b6b74f86ef5,7,LINEAGE_POS,25442,12,0,0.5133494909731172,1.5985863597099228,1.4829373127136627,-2.043619456982073,-2.3042516883690687,0.21405934056692796
OPENAI,SURFACE_TERM_REDACT,948353fa77462b6b74f86ef5,7,LINEAGE_POS,25442,12,0,0.5133494909731172,1.5985863597099228,1.4829373127136627,-2.043619456982073,-2.3042516883690687,0.21405934056692796
OPENAI,SURFACE_MARKDOWN_FLATTEN,948353fa77462b6b74f86ef5,7,LINEAGE_POS,24794,12,0,0.7589712797893468,2.4665695387978044,2.750490312326124,-0.5201140914425083,-2.18351229804845,0.17959519241509975
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,948353fa77462b6b74f86ef5,7,LINEAGE_POS,23492,12,0,0.015798732487602135,3.0261608270139115,-3.4196146260232583,-4.671437571038872,0.7342769716996752,0.29667698639039364
ANTHROPIC,BASELINE,ea84eb4aced8fc427600f6a8,32,LINEAGE_POS,17644,12,0,0.5538567661753152,5.730008294974121,0.01997803590876457,0.325967641793101,6.616531419796565,1.3179796495037475
OPENAI,BASELINE,d813d809f8d96ee8c3d26f62,16,LINEAGE_POS,25139,12,0,-0.049661671484458644,0.5237020920387576,0.9467558353558658,-0.8288113938139311,2.6104615395928343,0.7007409969617778
OPENAI,SURFACE_TERM_REDACT,d813d809f8d96ee8c3d26f62,16,LINEAGE_POS,25139,12,0,-0.049661671484458644,0.5237020920387576,0.9467558353558658,-0.8288113938139311,2.6104615395928343,0.7007409969617778
OPENAI,SURFACE_MARKDOWN_FLATTEN,d813d809f8d96ee8c3d26f62,16,LINEAGE_POS,24733,12,0,0.09820283337473093,0.6645864393216714,2.0075605562648215,-0.06951260246604951,2.80969332324483,0.6092861499269885
OPENAI,SURFACE_CASE_PUNCT_NORMALIZED,d813d809f8d96ee8c3d26f62,16,LINEAGE_POS,23197,12,0,-0.35165419336312037,1.186970920146441,-3.2625371311602076,-4.665638895035972,0.2460525269425341,0.023995777042843974
OPENAI,DOMAIN_EDUCATIONAL,298c04ebbd842f992631993d,23,MATCHED_NEG,17526,12,0,-0.5436002704582907,-0.8414727103625572,0.18827876242317443,-2.088203508890756,-3.448190758948076,-0.3495661710865501
OPENAI,BASELINE,6f87c98c56da9ae1299f4614,24,MATCHED_NEG,24938,12,0,1.9235384474060648,3.147572598810668,13.719184907808739,7.163210715909184,10.452949964396094,2.5348286211688595
OPENAI,SURFACE_TERM_REDACT,6f87c98c56da9ae1299f4614,24,MATCHED_NEG,24938,12,0,1.9235384474060648,3.147572598810668,13.719184907808739,7.163210715909184,10.452949964396094,2.5348286211688595
