SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
433,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\00_CONTROL\WF1_B_EXPERIMENT_ROOT.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\00_CONTROL\SOURCE\WF1_B_EXPERIMENT_ROOT.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,796,1789334124283367400,2642206c83293b901747b9a5ad266678e53963b5e798ffb000784422fc23b865,2642206c83293b901747b9a5ad266678e53963b5e798ffb000784422fc23b865,True,COPIED_AND_VERIFIED,
434,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\04_RUNNER\F2_B_FROZEN_PASSIVE_BASELINE\README.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\00_CONTROL\SOURCE\04_RUNNER\F2_B_FROZEN_PASSIVE_BASELINE\README.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,743,1789158036000000000,ac918a3bb13676b9d969acf52ab4c9f09d3cb3f357f479fdb3f230841e10007b,ac918a3bb13676b9d969acf52ab4c9f09d3cb3f357f479fdb3f230841e10007b,True,COPIED_AND_VERIFIED,
435,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\07_OUTPUT\FRESH_SHARD14_CONFIRMATION_R3\07_AUDIT\STATUS_LEDGER.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\00_CONTROL\SOURCE\07_OUTPUT\FRESH_SHARD14_CONFIRMATION_R3\07_AUDIT\STATUS_LEDGER.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,1279,1789336566023639000,5431de2ec1cb0dc113f101f3fe2db61e25e7470ae2e1edbfd930f54e64dd3e56,5431de2ec1cb0dc113f101f3fe2db61e25e7470ae2e1edbfd930f54e64dd3e56,True,COPIED_AND_VERIFIED,
436,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\09_ADJUDICATION\WF1_B_FINAL_AUTHORITY_R3\01_FINAL_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\00_CONTROL\SOURCE\09_ADJUDICATION\WF1_B_FINAL_AUTHORITY_R3\01_FINAL_MANIFEST.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,1845,1789337575246264700,bbfdf57d31ec9174fc1108066c66b03ad70127c4fb695e6ad82f49f9f9fcab37,bbfdf57d31ec9174fc1108066c66b03ad70127c4fb695e6ad82f49f9f9fcab37,True,COPIED_AND_VERIFIED,
437,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\09_ADJUDICATION\WF1_B_FINAL_AUTHORITY_R3\07_AUDIT\STATUS_LEDGER.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\00_CONTROL\SOURCE\09_ADJUDICATION\WF1_B_FINAL_AUTHORITY_R3\07_AUDIT\STATUS_LEDGER.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,1279,1789336566023639000,5431de2ec1cb0dc113f101f3fe2db61e25e7470ae2e1edbfd930f54e64dd3e56,5431de2ec1cb0dc113f101f3fe2db61e25e7470ae2e1edbfd930f54e64dd3e56,True,COPIED_AND_VERIFIED,
438,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\01_PROTOCOL\WF1_B_EXTERNAL_POPULATION_PREREGISTRATION.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\01_PROTOCOL\SOURCE\WF1_B_EXTERNAL_POPULATION_PREREGISTRATION.txt,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,1593,1789334317344861100,3ca9ab8b46aa852d951259fbd5f60c9427c4fbb0c9e24b1afc7cea40be61e547,3ca9ab8b46aa852d951259fbd5f60c9427c4fbb0c9e24b1afc7cea40be61e547,True,COPIED_AND_VERIFIED,
439,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\01_PROTOCOL\WF1_B_FRESH_CONFIRMATION_SELECTED_SHARDS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\01_PROTOCOL\SOURCE\WF1_B_FRESH_CONFIRMATION_SELECTED_SHARDS.csv,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,909,1789334969875671800,ee53afc53bc97fb785e25dd1e975c59e4564f42d74b802eb72072ba03bd3d396,ee53afc53bc97fb785e25dd1e975c59e4564f42d74b802eb72072ba03bd3d396,True,COPIED_AND_VERIFIED,
440,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\01_PROTOCOL\WF1_B_FRESH_CONFIRMATION_SELECTION.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\01_PROTOCOL\SOURCE\WF1_B_FRESH_CONFIRMATION_SELECTION.txt,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,382,1789334848046283500,7fdf9a152bfda5f5537cdd388daacdb586190c628b7253f09503aab34736cfc7,7fdf9a152bfda5f5537cdd388daacdb586190c628b7253f09503aab34736cfc7,True,COPIED_AND_VERIFIED,
441,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\01_PROTOCOL\WF1_B_FRESH_SELECTION_CORRECTION.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\01_PROTOCOL\SOURCE\WF1_B_FRESH_SELECTION_CORRECTION.txt,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,515,1789334969877669400,8b58ac651f97bf63f7ab1fdce6a00e7f62ef4d8de8544c8d235fa840e0b8f8c1,8b58ac651f97bf63f7ab1fdce6a00e7f62ef4d8de8544c8d235fa840e0b8f8c1,True,COPIED_AND_VERIFIED,
442,EXP-015,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET\01_PROTOCOL\WF1_B_FRESH_SHARD_14_FREEZE.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\032_EXP-015__WF1_B_External_Population_Confirmation\01_PROTOCOL\SOURCE\WF1_B_FRESH_SHARD_14_FREEZE.txt,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\WF1_B_EXTERNAL_POPULATION_PARQUET,564,1789335482056698500,dafb1ae443c771c40356d19c746f01b6dd79bdbb84febb7d4e6dc01078cc7e5e,dafb1ae443c771c40356d19c746f01b6dd79bdbb84febb7d4e6dc01078cc7e5e,True,COPIED_AND_VERIFIED,
