MODEL,count,min,median,mean,max
R1_COMPATIBLE,137,6.770140428677014,50.15521064301552,48.23269188232692,92.91943828529195
SURFACE_FREE,137,27.745750184774575,65.39541759053954,64.3281488554766,99.0909090909091
