lesion,condition,mean_fingerprint,median_fingerprint
AUTHENTIC,A0_AUTHENTIC,14.215,14.375
SINGLE_DIRECTION,D_DIRECTION_REVERSED,14.255,14.5
SINGLE_PRESERVATION,P_PRESERVATION_ABLATED,9.0075,9.0
DOUBLE_DIRECTION_META,DM_DIRECTION_META_DAMAGE,16.66,16.5
DOUBLE_DIRECTION_PRESERVATION,DP_DIRECTION_PRESERVATION_DAMAGE,14.89,15.0
DOUBLE_ORDER_PRESERVATION,OP_ORDER_PRESERVATION_DAMAGE,13.4175,13.25
DOUBLE_PRESERVATION_TERMINAL,PT_PRESERVATION_TERMINAL_DAMAGE,6.3275,6.0
