EXPERIMENT_ID,DESTINATION_BUCKET,ELIGIBLE_FILE_COUNT
EXP-004,01_PROTOCOL,2
EXP-004,04_RAW,2
EXP-004,06_DIAGNOSTIC,2
EXP-004,UNCLASSIFIED,1
