MODEL,LINEAGE_CONVERSATION_ID,LINEAGE_SCORE,EXTERNAL_PERCENTILE,N_EXTERNAL_GE
SURFACE_FREE,691da14c-25d4-8329-8966-78ce63f75189,0.9895147801921056,63.63636363636363,2460
SURFACE_FREE,691f558b-a7dc-832a-8fae-bab194f7b27d,0.9998354679551853,72.49076127124907,1861
SURFACE_FREE,692091ca-ecb8-832f-a281-48442427ada4,0.999689551331185,71.38211382113822,1936
SURFACE_FREE,69224691-0bdc-8325-b20a-ac4e5f3cc4c8,0.9993853931111772,70.05173688100518,2026
SURFACE_FREE,6925e053-ca9c-8326-a5b8-74e12c839569,0.9982971969920569,68.23355506282336,2149
SURFACE_FREE,6927b12b-bfb8-8325-80c6-6add963de8be,0.9996674302969193,71.23429416112343,1946
SURFACE_FREE,6928a1f2-a0f0-8329-9e93-e2c4354d586c,0.9994784537368896,70.43606799704361,2000
SURFACE_FREE,692b82a9-7764-832d-b3d5-f63b59792646,0.9998662541262281,72.87509238728751,1835
SURFACE_FREE,692babda-5438-8328-9643-61eac55f9b65,0.9962385136050623,66.43015521064302,2271
SURFACE_FREE,692c182f-8848-8329-aa72-e1c484f0883d,0.9999520525984362,74.76718403547672,1707
SURFACE_FREE,692db1a2-ee20-832a-b527-b36a57210cb0,0.9994971187204335,70.48041389504804,1997
SURFACE_FREE,692f5d5a-5c6c-832f-afd8-7791e3ae7169,0.9984048357790224,68.35181079083517,2141
SURFACE_FREE,692f808d-76ec-8331-b1ab-4e1eb2ad3360,0.9907559572304195,63.91722099039172,2441
SURFACE_FREE,69305a19-e310-8325-9a5c-98c6d8fe99e6,0.9999772095267537,76.0088691796009,1623
SURFACE_FREE,6932383e-a550-832e-a437-aeedb5883fbc,0.9983317215655471,68.24833702882484,2148
SURFACE_FREE,69337a14-0af4-832d-a473-20e5896b3be1,0.9896387474903174,63.65114560236511,2459
SURFACE_FREE,6934d3fd-d9c8-8327-8cbb-ed2f22efe02a,0.999914121956378,73.70288248337029,1779
SURFACE_FREE,693782d3-5da0-8330-96dc-191d211d9f9c,0.9989061014431845,69.06134515890614,2093
SURFACE_FREE,6937eac0-58f8-8333-8b99-4e70c64d575a,0.9797436653478682,61.68514412416851,2592
SURFACE_FREE,6937eda0-34dc-8328-a7b7-0ec0976eb833,0.9979844883245558,67.84922394678492,2175
