dose,condition,mean,median
0.25,A25_DOSE,0.64375,0.5
0.5,A50_DOSE,2.071875,2.0
0.75,A75_DOSE,1.91875,2.0
1.0,A100_AUTHENTIC,1.8,1.75

MEAN_PER_SEED_SPEARMAN,0.4718090183274935
DOSE_GATE,True
