PROVIDER,MODEL,N_LM,AUC,CI95_LOW,CI95_HIGH,P_ONE_SIDED
alibaba,R1_COMPATIBLE,60,0.6079075425790754,0.5079835766423357,0.696499391727494,0.008039062390320515
alibaba,SURFACE_FREE,60,0.7785279805352798,0.6831462895377128,0.8573646593673967,2.559937024919441e-10
anthropic,R1_COMPATIBLE,130,0.5153846153846154,0.44345732734418863,0.584025828186412,0.33226795742588355
anthropic,SURFACE_FREE,130,0.6572711959573273,0.5883492419988771,0.7261166479505896,4.4885197264748205e-06
google,R1_COMPATIBLE,113,0.6257347716555778,0.5555665008720366,0.6906595181189845,0.0003133687423760185
google,SURFACE_FREE,113,0.7978166785091403,0.7325754150248692,0.8594825915638524,2.718554034184825e-16
meta,R1_COMPATIBLE,58,0.7323181474955953,0.644808708784294,0.8126164107727158,1.505633225821247e-07
meta,SURFACE_FREE,58,0.7907123080795369,0.6945381323936571,0.8769223508683615,7.242074517948318e-11
openai,R1_COMPATIBLE,109,0.5414183352306972,0.46012020357597266,0.6148814705685395,0.13249000234115915
openai,SURFACE_FREE,109,0.6816111966784973,0.6066279381236187,0.753569276099913,5.021806195951971e-07
other_or_unknown,R1_COMPATIBLE,68,0.7386217260626878,0.656910154572778,0.8159188492915413,1.3678715713106543e-08
other_or_unknown,SURFACE_FREE,68,0.8462859596393302,0.7736072348647488,0.9128434950622585,3.6423910765886203e-16
