seed,condition,rep,response_id,response_sha256,OUTPUT_TOKENS,CHAR_COUNT,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,LATENCY_SECONDS,RETURN,GENERATIVE_REUSE,RECURRENCE,META_CONTROL,PRESERVATION,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY_DENSITY,CONTROL_DENSITY,PRESERVATION_DENSITY,FINGERPRINT_MAGNITUDE
0,A3_AUTHENTIC_PARAPHRASE,1,resp_00afd912887f26f2006aa31304e71887d2af6e6fbae7114f52,a43205e6eb23e0f33b60bb5f53b60e07c822d7f64fad308d857493e91e78b035,260.0,769.0,111.0,6.0,0.8018018018018018,5.81981981981982,4.408574104309082,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0,A3_AUTHENTIC_PARAPHRASE,2,resp_050f2c8851766837006aa313051f2887d2a526c496d15be67f,4ca5be795111a9b1336f0c4b768224a8fcf18ce0fbbaf926e58abff83a8c40b4,260.0,734.0,113.0,5.0,0.7168141592920354,5.424778761061947,4.0989155769348145,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0
0,A3_AUTHENTIC_PARAPHRASE,3,resp_0d7c4dad25f5e8d6006aa313051c2887d29fbc97d0857e53ec,d8799f7c6a11fa499af198ec9dccc4106c8b917ddf499852b91934d8f17724a2,260.0,574.0,91.0,5.0,0.8021978021978022,5.197802197802198,4.269711017608643,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
0,D_DIRECTION_REVERSED,0,resp_03545f575e7d652f006aa3130560e887d29186d493090a7033,cc03467621d37f65a069e76b1ff2858a16c85be79662b9148fb6679e80ec84af,260.0,127.0,17.0,1.0,0.9411764705882353,6.470588235294118,4.142179727554321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,D_DIRECTION_REVERSED,1,resp_022a989c9571440d006aa313059ca487d281b576002e92b0e7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.933685541152954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,D_DIRECTION_REVERSED,2,resp_08f8441bdf6e7c1e006aa31305ad5087d28d24fd8cb7b84efc,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.9053945541381836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,D_DIRECTION_REVERSED,3,resp_0e9660225a53208f006aa31305b74c87d2a9b38df9721dcd21,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.7100067138671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,O_ORDER_SHUFFLED,0,resp_06b93d995df59272006aa313060dd487d2a9bfde0b235f3eb2,a85b0f722fab10819ee86bd467c2b859e8ac3bd658698abc41060bd729ed830d,260.0,285.0,39.0,2.0,0.8461538461538461,6.256410256410256,4.337604999542236,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,5.0
0,O_ORDER_SHUFFLED,1,resp_0fb4c240ebd8bc3a006aa31306434087d28f764d35cfb5d02c,3de32d5c882ca63bbda2c8186f9fad76a9ee995663c96f530755aa8d8da42e78,251.0,699.0,95.0,4.0,0.7263157894736842,6.3052631578947365,4.572348117828369,0.0,0.0,0.0,2.0,3.0,2.0,4.0,1.0,4.0,3.0,5.0,12.0
0,O_ORDER_SHUFFLED,2,resp_088ce4250d245a84006aa31306cc5487d2be5882ec4eb73fb6,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,3.2728524208068848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,O_ORDER_SHUFFLED,3,resp_0fa14267c5becdb3006aa31306eb9487d2a4f0b30476264fd8,e5e5fde3f98fe572d2391a895e27cffdd45f48ce8ef6ba96b876fd22ddc7e319,260.0,73.0,10.0,1.0,0.9,6.4,4.455251693725586,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0
0,M_META_CONTROL_ABLATED,0,resp_08f9cc858f88e75f006aa31309375087d285560747c7431077,63427135dd6288c25b8c099eda0a3fa888fdd0129843714464ce01c01d500cbe,221.0,506.0,76.0,4.0,0.7105263157894737,5.578947368421052,3.4388279914855957,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,4.0,7.0
0,M_META_CONTROL_ABLATED,1,resp_02189f0b5ee07925006aa313094c9087d2979e29c7337d0760,fcdfee456c3a3ea13aff1923d0ef39188e31d1eb3cf919637652c295f5bf02d4,215.0,795.0,106.0,6.0,0.7830188679245284,6.40566037735849,4.068737268447876,0.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,2.0,0.0,8.0,10.0
0,M_META_CONTROL_ABLATED,2,resp_06956f91f025c48c006aa3130949a487d2b0610e5def2094d1,fc404a40822e9263495b9d3f05a93a3147f58e05cdb4430e18607a7d613c0cfc,223.0,737.0,107.0,6.0,0.6728971962616822,5.794392523364486,4.345849990844727,0.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,2.0,0.0,9.0,11.0
0,M_META_CONTROL_ABLATED,3,resp_0f0a0d6445b89fa8006aa3130962f887d297f6271b19d6d23c,60f7c556a1f238510d517231313605ed1893eee87703123950f3e569328da3a0,260.0,348.0,47.0,4.0,0.8085106382978723,6.319148936170213,4.147808313369751,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,4.0
0,P_PRESERVATION_ABLATED,0,resp_04e898670123d0c2006aa3130a0b9087d2b385844a9b72138b,855c2ec3581ab01c1c3fa7f5f197139f003351660847dd023bdb503cd95d82eb,260.0,240.0,32.0,2.0,0.90625,6.46875,7.663279294967651,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0
0,P_PRESERVATION_ABLATED,1,resp_0a17985861892e5f006aa3130abf9887d2b17e77d082ca1e8a,f81b9302f32d53cc50e50106062a20ba6f75d8c9fb9c45c4e8d37bbac47226ba,235.0,797.0,112.0,6.0,0.75,6.035714285714286,5.867425918579102,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,8.0
0,P_PRESERVATION_ABLATED,2,resp_059d8cea0a42f9e5006aa313099bc487d29b95671a6d058feb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,260.0,0.0,0.0,0.0,0.0,0.0,4.7322399616241455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
