FAMILY,N,DETECTION_RATE,MEDIAN_L1,MEDIAN_L2,MEDIAN_CHANGED_FEATURES
DEGREE_PRESERVING_REWIRE,500,1.0,2.3864926190049998,1.437184789266078,6.0
DELETE_ADD_COMPENSATED,500,1.0,2.466026793449,1.2446265787202506,7.0
REVERSE,10,1.0,2.5506648344260006,1.3328626006388533,6.5
