condition,N,mean_fingerprint,median_fingerprint,sd_fingerprint,mean_output_tokens,mean_latency
A0_AUTHENTIC,100,14.215,14.375,1.7756134236660384,149.6225,3.2046279805898665
A1_AUTHENTIC_PARAPHRASE,100,11.3975,11.25,1.5345741850079875,142.1625,3.177473492026329
A2_AUTHENTIC_PARAPHRASE,100,15.25,15.5,2.081059365036971,161.635,3.2351681381464004
A3_AUTHENTIC_PARAPHRASE,100,14.6325,14.5,1.950930560144325,215.56,4.010719303488731
D_DIRECTION_REVERSED,100,14.255,14.5,2.171317851472053,202.7525,3.646805930137634
O_ORDER_SHUFFLED,100,14.6325,14.5,2.4716715707260453,138.725,2.8405903190374375
M_META_CONTROL_ABLATED,100,9.6225,9.5,1.9992091239317917,113.1125,2.622866168022156
P_PRESERVATION_ABLATED,100,9.0075,9.0,1.5892850657456075,126.6225,2.7799838906526566
T_TERMINAL_COUNTERFACTUAL,100,11.9625,12.125,1.8095478396103222,144.4925,3.0242620170116425
C_COMPRESSION_ABLATED,100,12.625,12.5,1.6470435711457438,157.5775,3.1610932248830794
R_RECURSION_CONTROL,100,16.6575,17.0,3.917819785121167,239.845,4.177248855829239
X_COMPLEXITY_CONTROL,100,13.6775,13.25,1.9621722527583938,257.4175,4.47895131111145
L_LINEAR_CONTROL,100,3.27,3.25,1.268141087648302,59.3,2.0011862474679947
G_RANDOM_GRAPH_CONTROL,100,8.9525,9.0,2.3106841765235604,249.63,4.3711336356401445
DM_DIRECTION_META_DAMAGE,100,16.66,16.5,2.11342510077023,208.635,3.6537709367275237
DP_DIRECTION_PRESERVATION_DAMAGE,100,14.89,15.0,1.7760755739676295,221.365,3.808579161167145
OP_ORDER_PRESERVATION_DAMAGE,100,13.4175,13.25,2.33875317512161,133.9625,2.7854727667570116
PT_PRESERVATION_TERMINAL_DAMAGE,100,6.3275,6.0,1.6251243153691475,87.4875,2.2954058295488355
H_AUTHENTIC_HELDOUT,100,12.955,13.0,1.90870546854578,138.7175,2.894698534011841
H_DAMAGED_HELDOUT,100,5.37,5.25,1.31015844519476,88.4,2.3348564213514327
