PARTITION,N_CONTROLS,MIN_DISTANCE,P01_DISTANCE,MEDIAN_DISTANCE,EXACT_6DP_COLLISIONS
DEV,3500,0.0,0.5497728585118441,3.1243620399537804,3
HOLDOUT,2500,0.0,0.6461094410286804,3.051778673037937,1
