PARTITION,N_CONTROLS,MIN_DISTANCE,P01_DISTANCE,MEDIAN_DISTANCE,EXACT_6DP_COLLISIONS
DEV,20000,3.2588176863074882,4.9501326494197935,7.651824478675137,0
HOLDOUT,10000,2.8089617307680066,4.995873400271361,7.648173849638539,0
