SEED,CONDITION,SEQ_INPUT_EDGE_COHERENCE,SEQ_INPUT_ORDER_COHERENCE,PLUS_SEQ_COHERENCE,PLUS_REACHABILITY,MINUS_SEQ_CONFLICT,KEEP_DEGREE_CENTRALITY,KEEP_SPREAD,SWITCH_VALIDITY,END_SEQUENCE_POSITION,END_SINKNESS,CODE_SEQ_COHERENCE,CODE_CONNECTEDNESS,FINAL_RECIPROCITY,FINAL_SCC_COUNT,FINAL_LARGEST_SCC_FRAC,FINAL_TRANSITIVITY,FINAL_IN_DEGREE_SD,FINAL_OUT_DEGREE_SD,REP,CELL_KEY,OUTPUT_TOKENS_DIAGNOSTIC
0,P_ANCHOR_REASSIGNED,0.7,1.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,2,0|P_ANCHOR_REASSIGNED|2,107
0,T_TERMINAL_CHANGED,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5,0.0,0.8571428571428572,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,0,0|T_TERMINAL_CHANGED|0,107
0,T_TERMINAL_CHANGED,0.7,1.0,0.5,0.5,1.0,0.21428571428571427,0.14285714285714285,0.5,0.0,0.8571428571428572,1.0,1.0,0.0,1.0,1.0,0.2857142857142857,0.4841229182759271,0.4841229182759271,1,0|T_TERMINAL_CHANGED|1,107
0,T_TERMINAL_CHANGED,0.7,1.0,0.0,0.0,0.0,0.21428571428571427,0.14285714285714285,0.5,0.0,0.8571428571428572,1.0,1.0,0.0,3.0,0.75,0.2727272727272727,0.8569568250501305,0.4841229182759271,2,0|T_TERMINAL_CHANGED|2,107
0,R_DEGREE_MATCHED_REWIRE,0.5,1.0,0.0,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,0.6666666666666666,0.0,1.0,1.0,0.3,0.4841229182759271,0.4841229182759271,0,0|R_DEGREE_MATCHED_REWIRE|0,107
0,R_DEGREE_MATCHED_REWIRE,0.5,1.0,0.0,0.0,1.0,0.21428571428571427,0.14285714285714285,0.5,1.0,0.7142857142857143,1.0,0.6666666666666666,0.0,1.0,1.0,0.3,0.4841229182759271,0.4841229182759271,1,0|R_DEGREE_MATCHED_REWIRE|1,107
0,R_DEGREE_MATCHED_REWIRE,0.5,1.0,0.5,0.5,1.0,0.25,0.14285714285714285,0.5,1.0,0.8571428571428572,1.0,0.6666666666666666,0.0,1.0,1.0,0.2857142857142857,0.6959705453537527,0.4841229182759271,2,0|R_DEGREE_MATCHED_REWIRE|2,107
0,X_COMPLEXITY_MATCHED,0.6,1.0,0.0,0.0,0.0,0.17857142857142855,0.2857142857142857,0.5,1.0,0.7142857142857143,0.5,1.0,0.0,3.0,0.75,0.14285714285714285,0.6959705453537527,0.4841229182759271,0,0|X_COMPLEXITY_MATCHED|0,107
0,X_COMPLEXITY_MATCHED,0.6,1.0,0.5,0.5,0.0,0.17857142857142855,0.2857142857142857,0.5,1.0,0.8571428571428572,0.75,1.0,0.0,1.0,1.0,0.14285714285714285,0.4841229182759271,0.4841229182759271,1,0|X_COMPLEXITY_MATCHED|1,107
0,X_COMPLEXITY_MATCHED,0.8,0.5357142857142857,0.0,0.5,0.0,0.17857142857142855,0.2857142857142857,0.5,0.5714285714285714,0.8571428571428572,0.75,1.0,0.0,1.0,1.0,0.14285714285714285,0.4841229182759271,0.4841229182759271,2,0|X_COMPLEXITY_MATCHED|2,107
