TEST,MODEL,N_POS,N_NEG,AUC,CI95_LOW,CI95_HIGH,P_ONE_SIDED
LATER_LINEAGE_vs_LMARENA_DEVELOPMENT_HOLDOUT,R1_COMPATIBLE,137,624,0.6153261276436459,0.5719910981658244,0.6578157168257533,1.161842898425544e-05
LATER_LINEAGE_vs_SAMEUSER_NONLINEAGE,R1_COMPATIBLE,137,175,0.7055265901981231,0.646422314911366,0.7656871741397289,2.3249978887682955e-10
SAMEUSER_NONLINEAGE_vs_LMARENA_DEVELOPMENT_HOLDOUT,R1_COMPATIBLE,175,624,0.4725274725274725,0.43075022893772885,0.5129489468864469,0.8669436840552658
LATER_LINEAGE_vs_LMARENA_ALL_INDEPENDENT_PAIRS,R1_COMPATIBLE,137,2614,0.6022679675414249,0.5666827693665217,0.6352209327651778,2.6586144765467852e-05
LATER_LINEAGE_vs_LMARENA_DEVELOPMENT_HOLDOUT,SURFACE_FREE,137,624,0.7581765861875351,0.7222057481751826,0.7912733366086467,1.3637927847948612e-21
LATER_LINEAGE_vs_SAMEUSER_NONLINEAGE,SURFACE_FREE,137,175,0.8137434827945778,0.7654025026068821,0.8572294056308656,9.407258023115998e-22
SAMEUSER_NONLINEAGE_vs_LMARENA_DEVELOPMENT_HOLDOUT,SURFACE_FREE,175,624,0.5328113553113553,0.49082657967032967,0.573534913003663,0.09212820772960423
LATER_LINEAGE_vs_LMARENA_ALL_INDEPENDENT_PAIRS,SURFACE_FREE,137,2614,0.7579596669254268,0.7371719656649484,0.7799606903311199,1.0585040658238622e-24
