CELL_KEY
1086|D_ALL_DIRECTION_REVERSED|1
1086|D_ALL_DIRECTION_REVERSED|2
1087|E9_REVERSE|0
1087|E9_REVERSE|1
1087|E9_REVERSE|2
1090|M_SWITCH_REASSIGNED|0
1090|M_SWITCH_REASSIGNED|2
1098|G_RANDOM_CONTROL|1
1101|E4_DELETE|0
1104|E7_DELETE|0
1104|E7_DELETE|1
1104|E7_DELETE|2
1122|M0_SWITCH_NEUTRALIZED|0
1130|E7_DELETE|0
1130|E7_DELETE|1
1130|E7_DELETE|2
1130|G_RANDOM_CONTROL|0
1130|G_RANDOM_CONTROL|1
1130|G_RANDOM_CONTROL|2
1132|E7_REVERSE|0
1133|G_RANDOM_CONTROL|1
1133|G_RANDOM_CONTROL|2
1136|E5_REVERSE|2
1142|E2_REVERSE|2
1143|E7_DELETE|2
1148|M0_SWITCH_NEUTRALIZED|0
1153|E9_REVERSE|0
1153|E9_REVERSE|1
1153|E9_REVERSE|2
