SEED,CONDITION,ACTIVE_EDGES,EDGE_OVERLAP_AUTH,ISOMORPHIC_TO_AUTH,COMPLEXITY_DISTANCE,TOPOLOGY_DISTANCE,SWITCH_VALID
1000,A_AUTHENTIC,10,10,True,0.0,0.0,True
1000,I_ISOMORPHIC_RELABEL,10,10,True,0.0,0.0,True
1000,F_SURFACE_FORMAT_CONTROL,10,10,True,0.0,0.0,True
1000,D_ALL_DIRECTION_REVERSED,10,0,False,1.1102230246251565e-16,1.1102230246251565e-16,True
1000,O_ORDER_SHUFFLED,10,10,True,0.0,0.0,True
1000,M_SWITCH_REASSIGNED,10,10,True,0.0,0.0,True
1000,M0_SWITCH_NEUTRALIZED,10,10,True,0.0,0.0,False
1000,P_ANCHOR_REASSIGNED,10,10,True,0.0,0.0,True
1000,T_TERMINAL_CHANGED,10,10,True,0.0,0.0,True
1000,R_DEGREE_MATCHED_REWIRE,10,4,False,0.8352257537011898,1.0101020449827698,True
1000,X_COMPLEXITY_MATCHED,10,2,False,0.040927100473602165,0.05990236104945091,True
1000,Y_TOPOLOGY_MATCHED,10,3,False,0.19432742815506882,0.19918939389306317,True
1000,L_FORWARD_CONTROL,10,7,False,0.9945317441850101,1.2105769085093967,True
1000,G_RANDOM_CONTROL,10,2,False,0.8811380792414264,1.0883784176449809,True
1000,E0_DELETE,9,9,False,,,True
1000,E1_DELETE,9,9,False,,,True
1000,E2_DELETE,9,9,False,,,True
1000,E3_DELETE,9,9,False,,,True
1000,E4_DELETE,9,9,False,,,True
1000,E5_DELETE,9,9,False,,,True
1000,E6_DELETE,9,9,False,,,True
1000,E7_DELETE,9,9,False,,,False
1000,E8_DELETE,9,9,False,,,True
1000,E9_DELETE,9,9,False,,,True
1000,E0_REVERSE,10,9,False,0.09925228742307604,0.3035151144868707,True
1000,E1_REVERSE,10,9,False,0.31715050631594305,0.4627146548573152,True
1000,E2_REVERSE,10,9,False,0.49931633084890953,0.6526675735148206,True
1000,E3_REVERSE,10,9,False,0.659388119291343,0.815879916900367,True
1000,E4_REVERSE,10,9,False,0.659301391357489,0.8415909121547304,True
1000,E5_REVERSE,10,9,False,0.30240715309949484,0.4541431543171032,True
1000,E6_REVERSE,10,9,False,0.10015225666438718,0.30381060330119253,True
1000,E7_REVERSE,10,9,False,0.23363585477291704,0.3576696092347873,False
1000,E8_REVERSE,10,9,False,0.040498439283287016,0.040498439283287016,True
1000,E9_REVERSE,10,9,False,0.2143274869363638,0.34444208989191527,False
1001,A_AUTHENTIC,10,10,True,0.0,0.0,True
1001,I_ISOMORPHIC_RELABEL,10,10,True,0.0,0.0,True
1001,F_SURFACE_FORMAT_CONTROL,10,10,True,0.0,0.0,True
1001,D_ALL_DIRECTION_REVERSED,10,0,False,1.1102230246251565e-16,1.1102230246251565e-16,True
1001,O_ORDER_SHUFFLED,10,10,True,0.0,0.0,True
1001,M_SWITCH_REASSIGNED,10,10,True,0.0,0.0,True
1001,M0_SWITCH_NEUTRALIZED,10,10,True,0.0,0.0,False
