RUN_ID,SOURCE_ROOT,CANDIDATE_FILES,ROLE_OR_CONTROL_FILES,UNIQUE_PRESERVED_FILES,RUNNER_FILES,PROTOCOL_FILES,RESULT_FILES,AUTHORITY_FILES,DUPLICATES_COLLAPSED,STATUS
RUN-001,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD,260,148,139,8,22,85,39,9,READY_FOR_RUN_HYDRATION
RUN-010,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,622,369,200,21,14,96,73,169,READY_FOR_RUN_HYDRATION
