RUN_ID,CANONICAL_ID,CANONICAL_NAME,SELECTED_FILES,RUNNER_FILES,PROTOCOL_FILES,RESULT_FILES,AUTHORITY_FILES,STATUS
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,5,1,0,0,0,READY_FOR_RUN_HYDRATION
RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,15,1,2,3,5,READY_FOR_RUN_HYDRATION
RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,16,1,2,5,5,READY_FOR_RUN_HYDRATION
RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,29,2,0,9,5,READY_FOR_RUN_HYDRATION
RUN-005,CAN-F1-R2,F1 Development R2 - LM Arena Blind Hardened,18,2,0,5,7,READY_FOR_RUN_HYDRATION
RUN-006,CAN-F1-R3,F1 Development R3 - LM Arena Blind Hardened,24,4,0,7,8,READY_FOR_RUN_HYDRATION
RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,21,2,0,5,4,READY_FOR_RUN_HYDRATION
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,26,2,0,6,4,READY_FOR_RUN_HYDRATION
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,7,0,0,0,0,READY_FOR_RUN_HYDRATION
