RUN_ID,CANONICAL_ID,CANONICAL_NAME,DISCOVERED_FILES,PRIMARY_CANDIDATES,CLUSTER_COUNT,TOP_CLUSTER,TOP_CLUSTER_SCORE,TOP_CLUSTER_PRIMARY,TOP_CLUSTER_RUNNERS,TOP_CLUSTER_RESULTS,TOP_CLUSTER_AUTHORITY,DISCOVERY_STATUS
RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,260,5,1,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD,75,5,8,88,39,CANDIDATES_FOUND
RUN-002,CAN-V11-OPENAI-FINAL,V11 - OpenAI Relational Graph Fingerprint Final Historical Run,43,15,2,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL,60,15,1,3,5,CANDIDATES_FOUND
RUN-003,CAN-V11-ORIGINAL,V11 - Original Structural Metric Branch,16,16,1,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR,67,16,1,5,5,CANDIDATES_FOUND
RUN-004,CAN-F1-DEV-R1,F1 Development - LM Arena Blind R1,84,31,6,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1,83,28,1,9,5,CANDIDATES_FOUND
RUN-005,CAN-F1-R2,F1 Development R2 - LM Arena Blind Hardened,50,21,8,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED,59,16,0,5,7,CANDIDATES_FOUND
RUN-006,CAN-F1-R3,F1 Development R3 - LM Arena Blind Hardened,69,27,8,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED,91,22,2,7,8,CANDIDATES_FOUND
RUN-007,CAN-F1-R4,F1 Development R4 - V12 Graph Calibration,65,24,5,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION,66,21,2,5,4,CANDIDATES_FOUND
RUN-008,CAN-F1-R5,F1 Development R5 - V12 Specificity Operator,78,29,5,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,74,26,2,6,4,CANDIDATES_FOUND
RUN-009,CAN-F2-A,F2-A - Incomplete Earlier Branch,97,95,7,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,271,81,4,12,29,CANDIDATES_FOUND
RUN-010,CAN-F2-BR0,F2 BR0 - Full Fingerprint Recovery,622,7,1,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,288,7,39,181,136,CANDIDATES_FOUND
