SOURCE_CLUSTER,FILES,DIRECT_COMPONENT_FILES,DIRECT_FILENAME_FILES,TEXT_IDENTITY_FILES,INCOMPLETE_SIGNAL_FILES,DOWNSTREAM_FILES,MAX_EVIDENCE_SCORE,TOTAL_EVIDENCE_SCORE,DEDICATED_F2A_ROOT_CANDIDATE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,10,6,10,4,2,0,168,1239,True
C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,1,1,1,0,0,0,150,150,True
C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,1,1,1,0,0,0,150,150,True
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,82,0,0,0,23,82,-7,-2479,False
C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION,1,0,0,0,1,1,-15,-15,False
C:\RSOS\F1_FINAL_COMPLETE,1,0,0,0,0,1,-40,-40,False
C:\RSOS\F1_FINAL_LOCAL,1,0,0,0,0,1,-40,-40,False
