SCOPE,PARTITION,CONTROL,N,AUTH_ADVANTAGE,P,HOLM_P,PASS
POOLED,ALL,DEGREE_MATCHED,65,0.347910997251602,4.999750012499375e-05,0.00024998750062496874,True
POOLED,ALL,COMPLEXITY_MATCHED,65,0.03667562990805152,0.0004999750012499375,0.000999950002499875,True
POOLED,ALL,TOPOLOGY_MATCHED,65,0.005210454836714488,0.08229588520573972,0.08229588520573972,False
POOLED,ALL,FORWARD,65,0.7309488386493882,4.999750012499375e-05,0.00024998750062496874,True
POOLED,ALL,RANDOM,65,0.6554027776116568,4.999750012499375e-05,0.00024998750062496874,True
POOLED,DEVELOPMENT,DEGREE_MATCHED,34,0.29155799113809355,4.999750012499375e-05,0.00024998750062496874,True
POOLED,DEVELOPMENT,COMPLEXITY_MATCHED,34,0.031140092739713156,0.02919854007299635,0.0583970801459927,False
POOLED,DEVELOPMENT,TOPOLOGY_MATCHED,34,0.0035738323231273832,0.4378281085945703,0.4378281085945703,False
POOLED,DEVELOPMENT,FORWARD,34,0.7369814812044796,4.999750012499375e-05,0.00024998750062496874,True
POOLED,DEVELOPMENT,RANDOM,34,0.6532663159124545,4.999750012499375e-05,0.00024998750062496874,True
POOLED,CONFIRMATION,DEGREE_MATCHED,15,0.3222777104763953,0.00014999250037498125,0.00044997750112494374,True
POOLED,CONFIRMATION,COMPLEXITY_MATCHED,15,0.03885149540762809,0.024098795060246987,0.048197590120493974,True
POOLED,CONFIRMATION,TOPOLOGY_MATCHED,15,0.0049995051242706316,0.24778761061946902,0.24778761061946902,False
POOLED,CONFIRMATION,FORWARD,15,0.6505418137653085,9.99950002499875e-05,0.00039998000099995,True
POOLED,CONFIRMATION,RANDOM,15,0.6081390687420195,4.999750012499375e-05,0.00024998750062496874,True
POOLED,FINAL_HOLDOUT,DEGREE_MATCHED,16,0.49169234159456376,0.000199990000499975,0.000599970001499925,True
POOLED,FINAL_HOLDOUT,COMPLEXITY_MATCHED,16,0.04639877248491749,0.08374581270936453,0.16749162541872906,False
POOLED,FINAL_HOLDOUT,TOPOLOGY_MATCHED,16,0.008886043033503203,0.2231888405579721,0.2231888405579721,False
POOLED,FINAL_HOLDOUT,FORWARD,16,0.793511059048644,4.999750012499375e-05,0.00024998750062496874,True
POOLED,FINAL_HOLDOUT,RANDOM,16,0.7042524857877466,9.99950002499875e-05,0.00039998000099995,True
N1_COHERENT,ALL,DEGREE_MATCHED,65,0.2416601191627565,4.999750012499375e-05,0.00024998750062496874,True
N1_COHERENT,ALL,COMPLEXITY_MATCHED,65,0.024945062414277443,0.058097095145242736,0.11619419029048547,False
N1_COHERENT,ALL,TOPOLOGY_MATCHED,65,0.004977365083295187,0.17034148292585372,0.17034148292585372,False
N1_COHERENT,ALL,FORWARD,65,0.3833003909900021,0.00014999250037498125,0.00044997750112494374,True
