,SEQ_ACTIVE_EDGE_COHERENCE,PLUS_SEQ_COHERENCE,PLUS_REACHABILITY,MINUS_SEQ_CONFLICT,CODE_SEQ_COHERENCE,CODE_CONNECTEDNESS,FINAL_RECIPROCITY,FINAL_SCC_COUNT,FINAL_LARGEST_SCC_FRAC,FINAL_TRANSITIVITY,FINAL_IN_DEGREE_SD,FINAL_OUT_DEGREE_SD,FINAL_SPECTRAL_RADIUS,FINAL_TWO_CYCLES,FINAL_THREE_CYCLES,FINAL_REACHABILITY_FRAC,FINAL_MEAN_REACHABLE_PATH
SEQ_ACTIVE_EDGE_COHERENCE,17.120834341994446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLUS_SEQ_COHERENCE,0.0,9.163757449733566,-1.2079552989197726,-1.46428063814736e-14,-1.0152643240164702e-14,-0.03008242236237803,-0.5516412212439986,-1.6176177892287331,1.6176177892287518,-0.9502561652414917,-0.47719784582868136,2.1746224958497424,4.299428572533854,-0.5516412212440094,0.1480480504623319,1.2741137785004877,1.5984029574280088
PLUS_REACHABILITY,0.0,-1.2079552989197724,13.934902685621877,9.357488638572138e-15,3.030603489014822e-15,0.006067899474540747,0.5073300114122284,-2.085444049492997,2.085444049493161,0.2956707518775983,-1.5373578369355956,-3.001013568857121,-2.1915833455517464,0.5073300114122654,0.34273674684819366,2.2077298751525,2.672839116894171
MINUS_SEQ_CONFLICT,0.0,-1.4634911247569195e-14,9.354667412322051e-15,17.120834341994414,-3.0948787226253367e-15,1.813102513515408e-15,8.093144334399538e-15,1.2286445416747024e-15,5.893348891013031e-15,-1.1850557396729964e-15,1.5363688852464792e-15,-1.2016336416484903e-14,-1.0953138937137001e-14,-3.97722327403262e-15,3.8861729017841005e-15,-7.16629100291826e-15,-6.54903326060493e-15
CODE_SEQ_COHERENCE,0.0,-1.0135920824134766e-14,2.9197629417655127e-15,-3.0530578453404297e-15,17.12083434199454,-1.5553564764448482e-15,-7.278557562452514e-15,5.458175316306443e-15,3.8320260688287735e-15,-3.29877632533651e-15,-1.9249238331566634e-15,-1.369691017181586e-15,-1.0322306167934048e-14,1.76437887473507e-14,-5.688592103117096e-16,-3.020975094027414e-15,-2.661967824259119e-15
CODE_CONNECTEDNESS,0.0,-0.030082422362378045,0.006067899474540745,1.8131025135154085e-15,-1.5553564764448482e-15,1.031165069879138,-0.01405497873527581,-0.02856024748986182,0.028560247489861506,0.04129842985809692,0.10495904516813581,0.05619183010166125,0.04737760050927689,-0.014054978735278213,-0.05169491002919793,0.023388387718295673,0.017834141653499412
FINAL_RECIPROCITY,0.0,-0.5516412212439988,0.5073300114122283,8.323874723474307e-15,-7.63050896363707e-15,-0.014054978735275813,9.045587472975837,-0.36299502296095004,0.36299502296095815,-0.19116962386641578,0.01674467448731766,0.6323053858310235,-1.1311414744343238,-8.07524686901866,0.23454796269649422,0.2399673952170314,-0.14519294481381947
FINAL_SCC_COUNT,0.0,-1.6176177892287331,-2.085444049492997,1.2579356762683429e-15,5.604347031894652e-15,-0.028560247489861825,-0.36299502296095015,14.495951512041145,2.6248828299530373,-0.06802989504188481,-1.5742617262777747,-2.100131909565786,0.9177903078724887,-0.3629950229609493,-0.6324031538155944,2.591418099389567,2.1029577098456786
FINAL_LARGEST_SCC_FRAC,0.0,1.6176177892287518,2.085444049493161,5.945502656824144e-15,3.666517439245102e-15,0.028560247489861506,0.36299502296095865,2.6248828299530373,14.495951512041335,0.06802989504190295,1.5742617262775993,2.10013190956578,-0.9177903078725267,0.3629950229609606,0.6324031538155922,-2.591418099389641,-2.10295770984577
FINAL_TRANSITIVITY,0.0,-0.9502561652414917,0.2956707518775983,-1.1850557396731131e-15,-3.2987763253371467e-15,0.04129842985809692,-0.19116962386641584,-0.06802989504188484,0.06802989504190304,3.2203106604072276,-0.8489136700656267,-0.026888522531011795,0.967788616631805,-0.19116962386641737,-1.0888777093560722,-0.014277001992963962,0.3302119499909313
