FEATURE,BASELINE_MEAN,BASELINE_SD
SEQ_ACTIVE_EDGE_COHERENCE,0.7,1.0
PLUS_SEQ_COHERENCE,0.6242690058479533,0.16858979486473344
PLUS_REACHABILITY,0.7807017543859649,0.21533604283536514
MINUS_SEQ_CONFLICT,1.0,1.0
CODE_SEQ_COHERENCE,1.0,1.0
CODE_CONNECTEDNESS,0.9878863826232247,0.06823126503896236
FINAL_RECIPROCITY,0.18181818181818182,0.013965370411683066
FINAL_SCC_COUNT,2.39766081871345,1.1085412500280176
FINAL_LARGEST_SCC_FRAC,0.8252923976608186,0.1385676562535022
FINAL_TRANSITIVITY,0.030727403303580585,0.04660903485312533
FINAL_IN_DEGREE_SD,0.6286225231002791,0.11832684653840951
FINAL_OUT_DEGREE_SD,0.658748610528841,0.13447334409382652
FINAL_SPECTRAL_RADIUS,1.488984349513376,0.03994927537407087
FINAL_TWO_CYCLES,1.0000000000000002,0.07680953726425686
FINAL_THREE_CYCLES,0.011695906432748537,0.06160464171499464
FINAL_REACHABILITY_FRAC,0.8449770258980785,0.12123307502750034
FINAL_MEAN_REACHABLE_PATH,2.5324974768622903,0.2565340065650633
