FAMILY,EDGE,SWITCH_LINKED,REPLICATED_CONFIRMATION_AND_HOLDOUT,CONF_EXCESS,CONF_HOLM_P,HOLD_EXCESS,HOLD_HOLM_P
DELETE,0,False,True,6.420809404231405,0.0004999750012499375,5.58791983818617,0.0004999750012499375
DELETE,1,False,True,10.603824872244054,0.0004999750012499375,10.076024189985525,0.0004999750012499375
DELETE,2,False,True,18.994819810279775,0.0004999750012499375,18.123969243545503,0.0004999750012499375
DELETE,3,False,True,18.881699942013416,0.0004999750012499375,19.952110456684107,0.0004999750012499375
DELETE,4,False,True,19.463787376565666,0.0004999750012499375,20.419594302077385,0.0004999750012499375
DELETE,5,False,True,9.06827992454625,0.0004999750012499375,8.971385108503155,0.0004999750012499375
DELETE,6,False,True,7.7725927309088725,0.0004999750012499375,7.574289968867696,0.0004999750012499375
DELETE,7,True,True,32.18502405075955,0.0004999750012499375,20.72721917717043,0.0004999750012499375
DELETE,8,False,True,5.291610619203609,0.0004999750012499375,5.988310693592304,0.0004999750012499375
DELETE,9,False,True,11.068848293342365,0.0004999750012499375,11.0102794030247,0.0004999750012499375
REVERSE,0,False,True,8.17647922666133,0.0004999750012499375,7.351256412324854,0.0004999750012499375
REVERSE,1,False,True,9.286374925526824,0.0004999750012499375,8.993210660610941,0.0004999750012499375
REVERSE,2,False,True,16.676783000147534,0.0004999750012499375,16.138817654167184,0.0004999750012499375
REVERSE,3,False,True,19.34567401498575,0.0004999750012499375,19.626373556893885,0.0004999750012499375
REVERSE,4,False,True,23.687870758378068,0.0004999750012499375,22.21347493104646,0.0004999750012499375
REVERSE,5,False,True,9.046140749132404,0.0004999750012499375,9.109429626605952,0.0004999750012499375
REVERSE,6,False,True,10.812201968859007,0.0004999750012499375,11.529094123436025,0.0004999750012499375
REVERSE,7,True,True,20.685129921145613,0.0004999750012499375,22.960600625220223,0.0004999750012499375
REVERSE,8,False,False,0.7627517467309695,0.231938403079846,1.063107265166803,0.07434628268586571
REVERSE,9,True,True,25.873748972601966,0.0004999750012499375,31.78732302161665,0.0004999750012499375
