CLASSIFIER,PARTITION,N,ROC_AUC,ACCURACY
BROAD,DEVELOPMENT,1292,0.9749612784082448,0.9187306501547987
BROAD,CONFIRMATION,646,0.9701992672683406,0.9024767801857585
BROAD,FINAL_HOLDOUT,646,0.9638995621481548,0.9040247678018576
HARD_CONTROLS,DEVELOPMENT,228,1.0,1.0
HARD_CONTROLS,CONFIRMATION,114,1.0,1.0
HARD_CONTROLS,FINAL_HOLDOUT,114,1.0,0.9912280701754386
