PARTITION,TEST,N,EXCESS_DISTANCE,P,HOLM_P,PASS_005,PASS_001
ALL,EDGE_DELETE_PURE9,76,11.961855934554418,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,EDGE_REVERSE_PURE8,76,12.07816707820081,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,DIRECTION_ALL_COVARIANT_SWITCH,76,10.041754936733545,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,ORDER,76,7.14851014174771,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,META_REASSIGNED,76,24.90531070885993,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,PRESERVATION,76,-0.7717336337269916,0.006249687515624219,0.006249687515624219,False,False
ALL,TERMINAL,76,-1.0244656999742086,0.000599970001499925,0.00119994000299985,False,False
ALL,DEGREE_MATCHED,76,23.035110676997082,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,COMPLEXITY_MATCHED,76,23.967970516017473,4.999750012499375e-05,0.0004999750012499375,True,True
ALL,TOPOLOGY_MATCHED,76,21.801161990298066,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,EDGE_DELETE_PURE9,38,11.96425874811984,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,EDGE_REVERSE_PURE8,38,12.042644117609498,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,DIRECTION_ALL_COVARIANT_SWITCH,38,10.439320913451247,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,ORDER,38,7.145165509141063,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,META_REASSIGNED,38,24.22830543092849,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,PRESERVATION,38,-0.792185809173119,0.04389780510974451,0.08779561021948902,False,False
DEVELOPMENT,TERMINAL,38,-0.8119648880730579,0.06739663016849158,0.08779561021948902,False,False
DEVELOPMENT,DEGREE_MATCHED,38,22.954671787342836,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,COMPLEXITY_MATCHED,38,24.75995208749193,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,TOPOLOGY_MATCHED,38,20.293269718863872,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,EDGE_DELETE_PURE9,19,11.95180810814838,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,EDGE_REVERSE_PURE8,19,12.224284548802736,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,DIRECTION_ALL_COVARIANT_SWITCH,19,9.563116111378724,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,ORDER,19,7.002503326579649,0.00014999250037498125,0.0004999750012499375,True,True
CONFIRMATION,META_REASSIGNED,19,23.93286242752493,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,PRESERVATION,19,-0.4423555689030584,0.5141742912854357,0.5141742912854357,False,False
CONFIRMATION,TERMINAL,19,-1.1552912238339543,0.027398630068496577,0.05479726013699315,False,False
CONFIRMATION,DEGREE_MATCHED,19,22.125466202591554,9.99950002499875e-05,0.0004999750012499375,True,True
CONFIRMATION,COMPLEXITY_MATCHED,19,24.006485884967923,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,TOPOLOGY_MATCHED,19,24.736901202543336,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,EDGE_DELETE_PURE9,19,11.967098133829616,9.99950002499875e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,EDGE_REVERSE_PURE8,19,12.003095528781511,9.99950002499875e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,DIRECTION_ALL_COVARIANT_SWITCH,19,9.725261808652956,9.99950002499875e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,ORDER,19,7.301206222129069,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,META_REASSIGNED,19,27.231769546057816,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,PRESERVATION,19,-1.06020734765867,0.041797910104494775,0.054297285135743216,False,False
FINAL_HOLDOUT,TERMINAL,19,-1.3186417999167634,0.027148642567871608,0.054297285135743216,False,False
FINAL_HOLDOUT,DEGREE_MATCHED,19,24.1056329307111,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,COMPLEXITY_MATCHED,19,22.345492004118103,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,TOPOLOGY_MATCHED,19,21.881207320921188,4.999750012499375e-05,0.0004999750012499375,True,True
