TEST,STATUS,VALUE,CLAIM_SCOPE
BLIND_MATRIX_FORBIDDEN_COLUMN_AUDIT,PASS,0.0,DEVELOPMENT
SESSION_SPLIT_LEAKAGE,PASS,0.0,DEVELOPMENT
PRESERVE_FIRST_ROW_RETENTION,PASS,1.0,DEVELOPMENT
RELATIONAL_DEPENDENCE_CALIBRATION,STRONG_RELATIONAL_RECOVERABILITY,0.9878275419853179,DEVELOPMENT
BLIND_STRUCTURAL_DISCOVERY,MEASURED,3.0,DEVELOPMENT_ONLY
LLM_GATED_COMPARATOR,UNTESTED,,NONE
F2_EXTERNAL_POPULATION_RARITY,NOT_RUN_RESERVED,,NONE
F3_PROSPECTIVE_REPLICATION,NOT_ELIGIBLE_HISTORICAL_DATA,,NONE
