CONDITION,EXPECTED_CELLS,VALID_CELLS,MISSING_CELLS,MISSING_RATE,ENRICHMENT_P_RAW,ENRICHMENT_P_HOLM
E7_DELETE,240,233,7,0.029166666666666667,1.5653203615373647e-05,0.000532208922922704
E9_REVERSE,240,234,6,0.025,0.00016357691914465648,0.005398038331773664
G_RANDOM_CONTROL,240,234,6,0.025,0.00016357691914465648,0.005398038331773664
D_ALL_DIRECTION_REVERSED,240,238,2,0.008333333333333333,0.2093993301202729,1.0
M0_SWITCH_NEUTRALIZED,240,238,2,0.008333333333333333,0.2093993301202729,1.0
M_SWITCH_REASSIGNED,240,238,2,0.008333333333333333,0.2093993301202729,1.0
E2_REVERSE,240,239,1,0.004166666666666667,0.5798935842528306,1.0
E4_DELETE,240,239,1,0.004166666666666667,0.5798935842528306,1.0
E5_REVERSE,240,239,1,0.004166666666666667,0.5798935842528306,1.0
E7_REVERSE,240,239,1,0.004166666666666667,0.5798935842528306,1.0
A_AUTHENTIC,240,240,0,0.0,1.0,1.0
E0_DELETE,240,240,0,0.0,1.0,1.0
E0_REVERSE,240,240,0,0.0,1.0,1.0
E1_DELETE,240,240,0,0.0,1.0,1.0
E1_REVERSE,240,240,0,0.0,1.0,1.0
E2_DELETE,240,240,0,0.0,1.0,1.0
E3_DELETE,240,240,0,0.0,1.0,1.0
E3_REVERSE,240,240,0,0.0,1.0,1.0
E4_REVERSE,240,240,0,0.0,1.0,1.0
E5_DELETE,240,240,0,0.0,1.0,1.0
E6_DELETE,240,240,0,0.0,1.0,1.0
E6_REVERSE,240,240,0,0.0,1.0,1.0
E8_DELETE,240,240,0,0.0,1.0,1.0
E8_REVERSE,240,240,0,0.0,1.0,1.0
E9_DELETE,240,240,0,0.0,1.0,1.0
F_SURFACE_FORMAT_CONTROL,240,240,0,0.0,1.0,1.0
I_ISOMORPHIC_RELABEL,240,240,0,0.0,1.0,1.0
L_FORWARD_CONTROL,240,240,0,0.0,1.0,1.0
O_ORDER_SHUFFLED,240,240,0,0.0,1.0,1.0
P_ANCHOR_REASSIGNED,240,240,0,0.0,1.0,1.0
R_DEGREE_MATCHED_REWIRE,240,240,0,0.0,1.0,1.0
T_TERMINAL_CHANGED,240,240,0,0.0,1.0,1.0
X_COMPLEXITY_MATCHED,240,240,0,0.0,1.0,1.0
Y_TOPOLOGY_MATCHED,240,240,0,0.0,1.0,1.0
