REP,EXPECTED_CELLS,VALID_CELLS,MISSING_CELLS,MISSING_RATE
0,2720,2710,10,0.003676470588235294
1,2720,2712,8,0.0029411764705882353
2,2720,2709,11,0.004044117647058824
