"TYPE","ID","PUBLICATION_FILES","PUBLICATION_BYTES","PUBLICATION_MB","SOURCE_PATH","STAGING_PATH","SOURCE_MAPPING_STATUS"
"CANONICAL_EXPERIMENT","EXP-016","2408","133998699","127,791","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\01_CANONICAL_EXPERIMENTS\EXP-016__WF2_-_Prospective_Cross-System_Confirmation","PASS"
"HISTORICAL_RUN","RUN-001","138","70522060","67,255","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-001__V6_Clean_-_Confirmatory_Fingerprint_Replication","PASS"
"HISTORICAL_RUN","RUN-002","23","5881649","5,609","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-002__V11_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-002__V11_-_OpenAI_Relational_Graph_Fingerprint_Final_Historical_Run","PASS"
"HISTORICAL_RUN","RUN-003","25","11551434","11,016","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-003__V11_Original_Structural_Metric_Branch","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-003__V11_-_Original_Structural_Metric_Branch","PASS"
"HISTORICAL_RUN","RUN-004","35","9131530","8,709","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-004__F1_Development_LM_Arena_Blind_R1","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-004__F1_Development_-_LM_Arena_Blind_R1","PASS"
"HISTORICAL_RUN","RUN-005","23","132445","0,126","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-005__F1_Development_R2_LM_Arena_Blind_Hardened","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-005__F1_Development_R2_-_LM_Arena_Blind_Hardened","PASS"
"HISTORICAL_RUN","RUN-006","30","1010083","0,963","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-006__F1_Development_R3_LM_Arena_Blind_Hardened","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-006__F1_Development_R3_-_LM_Arena_Blind_Hardened","PASS"
"HISTORICAL_RUN","RUN-007","26","233426","0,223","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-007__F1_Development_R4_V12_Graph_Calibration","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-007__F1_Development_R4_-_V12_Graph_Calibration","PASS"
"HISTORICAL_RUN","RUN-008","30","267205","0,255","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-008__F1_Development_R5_V12_Specificity_Operator","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-008__F1_Development_R5_-_V12_Specificity_Operator","PASS"
"HISTORICAL_RUN","RUN-009","43","616188","0,588","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-009__F2_A_Incomplete_Earlier_Branch","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-009__F2-A_-_Incomplete_Earlier_Branch","PASS"
"HISTORICAL_RUN","RUN-010","196","33953690","32,381","C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-010__F2_BR0_Full_Fingerprint_Recovery","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\02_HISTORICAL_RUNS\RUN-010__F2_BR0_-_Full_Fingerprint_Recovery","PASS"
"ACTIVE_EXPERIMENT","WF3_R2","22","5842415","5,572","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\03_ACTIVE_EXPERIMENTS\WF3_R2","PASS"
"ARCHIVE","WF3_PREEXECUTION","67","45968937","43,839","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\90_ARCHIVE\WF3_PREEXECUTION","PASS"
"ARCHIVE","WF3_R2_PREEXISTING","9","5790507","5,522","C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION_R2_PREEXISTING_20260915T214341Z","C:\RSOS\GITHUB_STAGING\RSOS-RSSO-RSIA-RSX-Evidence\90_ARCHIVE\WF3_R2_PREEXISTING","PASS"
