PARTITION,CONDITION,METRIC,N,MEAN,SD
ALL,A_AUTHENTIC,ORDER_FIDELITY,65,1.0,0.0
ALL,A_AUTHENTIC,K_JACCARD,65,1.0,0.0
ALL,A_AUTHENTIC,S_EXACT,65,1.0,0.0
ALL,A_AUTHENTIC,S_APPLIED_SCORE,65,0.9948717948717949,0.029005967555766062
ALL,A_AUTHENTIC,K_INCIDENT_RETENTION,65,1.0,0.0
ALL,A_AUTHENTIC,Z_EXACT,65,1.0,0.0
ALL,A_AUTHENTIC,Z_FINAL_SINKNESS,65,0.6871794871794872,0.1987541323550409
ALL,A_AUTHENTIC,Z_SEQUENCE_POSITION,65,1.0,0.0
ALL,O_ORDER_SHUFFLED,ORDER_FIDELITY,65,0.9602564102564102,0.11575194361155122
ALL,M_SWITCH_REASSIGNED,S_EXACT,65,0.9948717948717948,0.04134491152973615
ALL,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,65,0.8461538461538461,0.187054313607883
ALL,M0_SWITCH_NEUTRALIZED,S_EXACT,65,0.0,0.0
ALL,P_ANCHOR_REASSIGNED,K_JACCARD,65,1.0,0.0
ALL,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,65,1.0,0.0
ALL,T_TERMINAL_CHANGED,Z_EXACT,65,1.0,0.0
ALL,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,65,0.5,0.0
ALL,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,65,0.0,0.0
DEVELOPMENT,A_AUTHENTIC,ORDER_FIDELITY,34,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,K_JACCARD,34,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,S_EXACT,34,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,S_APPLIED_SCORE,34,0.9901960784313727,0.03980542893510214
DEVELOPMENT,A_AUTHENTIC,K_INCIDENT_RETENTION,34,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,Z_EXACT,34,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,Z_FINAL_SINKNESS,34,0.6470588235294117,0.182411391165291
DEVELOPMENT,A_AUTHENTIC,Z_SEQUENCE_POSITION,34,1.0,0.0
DEVELOPMENT,O_ORDER_SHUFFLED,ORDER_FIDELITY,34,0.9527310924369746,0.12310842166771296
DEVELOPMENT,M_SWITCH_REASSIGNED,S_EXACT,34,0.9901960784313725,0.05716619504750295
DEVELOPMENT,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,34,0.877450980392157,0.1707027637479788
DEVELOPMENT,M0_SWITCH_NEUTRALIZED,S_EXACT,34,0.0,0.0
DEVELOPMENT,P_ANCHOR_REASSIGNED,K_JACCARD,34,1.0,0.0
DEVELOPMENT,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,34,1.0,0.0
DEVELOPMENT,T_TERMINAL_CHANGED,Z_EXACT,34,1.0,0.0
DEVELOPMENT,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,34,0.5,0.0
DEVELOPMENT,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,34,0.0,0.0
CONFIRMATION,A_AUTHENTIC,ORDER_FIDELITY,15,1.0,0.0
CONFIRMATION,A_AUTHENTIC,K_JACCARD,15,1.0,0.0
CONFIRMATION,A_AUTHENTIC,S_EXACT,15,1.0,0.0
CONFIRMATION,A_AUTHENTIC,S_APPLIED_SCORE,15,1.0,0.0
CONFIRMATION,A_AUTHENTIC,K_INCIDENT_RETENTION,15,1.0,0.0
CONFIRMATION,A_AUTHENTIC,Z_EXACT,15,1.0,0.0
CONFIRMATION,A_AUTHENTIC,Z_FINAL_SINKNESS,15,0.7555555555555556,0.22596061837895795
CONFIRMATION,A_AUTHENTIC,Z_SEQUENCE_POSITION,15,1.0,0.0
CONFIRMATION,O_ORDER_SHUFFLED,ORDER_FIDELITY,15,0.9658730158730158,0.10386780905511346
CONFIRMATION,M_SWITCH_REASSIGNED,S_EXACT,15,1.0,0.0
CONFIRMATION,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,15,0.8111111111111111,0.18757714462371258
CONFIRMATION,M0_SWITCH_NEUTRALIZED,S_EXACT,15,0.0,0.0
CONFIRMATION,P_ANCHOR_REASSIGNED,K_JACCARD,15,1.0,0.0
CONFIRMATION,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,15,1.0,0.0
CONFIRMATION,T_TERMINAL_CHANGED,Z_EXACT,15,1.0,0.0
CONFIRMATION,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,15,0.5,0.0
CONFIRMATION,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,15,0.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,ORDER_FIDELITY,16,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,K_JACCARD,16,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,S_EXACT,16,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,S_APPLIED_SCORE,16,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,K_INCIDENT_RETENTION,16,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,Z_EXACT,16,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,Z_FINAL_SINKNESS,16,0.7083333333333334,0.19720265943665385
FINAL_HOLDOUT,A_AUTHENTIC,Z_SEQUENCE_POSITION,16,1.0,0.0
FINAL_HOLDOUT,O_ORDER_SHUFFLED,ORDER_FIDELITY,16,0.9709821428571428,0.11607142857142858
FINAL_HOLDOUT,M_SWITCH_REASSIGNED,S_EXACT,16,1.0,0.0
FINAL_HOLDOUT,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,16,0.8125,0.2183693778559283
FINAL_HOLDOUT,M0_SWITCH_NEUTRALIZED,S_EXACT,16,0.0,0.0
FINAL_HOLDOUT,P_ANCHOR_REASSIGNED,K_JACCARD,16,1.0,0.0
FINAL_HOLDOUT,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,16,1.0,0.0
FINAL_HOLDOUT,T_TERMINAL_CHANGED,Z_EXACT,16,1.0,0.0
FINAL_HOLDOUT,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,16,0.5,0.0
FINAL_HOLDOUT,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,16,0.0,0.0
