FAMILY,EDGE,SWITCH_LINKED,REPLICATED_CONFIRMATION_AND_HOLDOUT,CONF_EXCESS,CONF_HOLM_P,HOLD_EXCESS,HOLD_HOLM_P
DELETE,0,False,True,5.927120983591331,0.0007499625018749063,5.378758054346874,0.0004999750012499375
DELETE,1,False,True,10.000080559035249,0.0004999750012499375,9.542497612330015,0.0004999750012499375
DELETE,2,False,True,17.886206111684903,0.0004999750012499375,17.442689156913797,0.0004999750012499375
DELETE,3,False,True,18.081307518800696,0.0007499625018749063,19.29184517124239,0.0004999750012499375
DELETE,4,False,True,18.238765835296643,0.0007499625018749063,19.80919007025426,0.0004999750012499375
DELETE,5,False,True,8.144636914073486,0.0004999750012499375,8.64250473026462,0.0004999750012499375
DELETE,6,False,True,7.176587948374912,0.0006999650017499125,7.285591884661228,0.0004999750012499375
DELETE,7,True,True,34.25667958087891,0.0006999650017499125,21.143741157857114,0.0004999750012499375
DELETE,8,False,True,4.587959566289245,0.0007499625018749063,5.930774971547855,0.0004999750012499375
DELETE,9,False,True,10.226173823348052,0.0007499625018749063,10.463099231705215,0.0004999750012499375
REVERSE,0,False,True,7.677990305356919,0.0008999550022498875,7.2801077942391395,0.0006999650017499125
REVERSE,1,False,True,8.53695234600925,0.0008999550022498875,8.860135800492081,0.0006999650017499125
REVERSE,2,False,True,16.23300597164223,0.0008999550022498875,15.797351320489664,0.0006999650017499125
REVERSE,3,False,True,18.898354062411645,0.0004999750012499375,19.765435160906975,0.0006999650017499125
REVERSE,4,False,True,23.26742689872189,0.0008999550022498875,21.55214797113129,0.0006999650017499125
REVERSE,5,False,True,8.20029622435589,0.0008999550022498875,8.488303101339625,0.0004999750012499375
REVERSE,6,False,True,9.949779840940879,0.0008999550022498875,11.34373368180405,0.0004999750012499375
REVERSE,7,True,True,18.23564968253323,0.0008999550022498875,22.84175515914928,0.0004999750012499375
REVERSE,8,False,False,0.2836794359527685,0.7166141692915354,1.1952069905539615,0.08339583020848958
REVERSE,9,True,True,26.245312192990486,0.0008999550022498875,34.330934220872635,0.0006999650017499125
