PARTITION,TEST,N,EXCESS_DISTANCE,P,HOLM_P,PASS_005,PASS_001
DEVELOPMENT,EDGE_DELETE_PURE9,34,11.76171479313421,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,EDGE_REVERSE_PURE8,34,11.906570100838008,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,DIRECTION_ALL_COVARIANT_SWITCH,34,10.455444913874398,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,ORDER,34,7.5492056640147815,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,META_REASSIGNED,34,25.638936336252094,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,PRESERVATION,34,-0.8669234324981065,0.04134793260336983,0.08269586520673966,False,False
DEVELOPMENT,TERMINAL,34,-0.8105649075470787,0.05339733013349333,0.08269586520673966,False,False
DEVELOPMENT,DEGREE_MATCHED,34,24.291970945563126,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,COMPLEXITY_MATCHED,34,26.07566160864455,4.999750012499375e-05,0.0004999750012499375,True,True
DEVELOPMENT,TOPOLOGY_MATCHED,34,21.05246128754637,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,EDGE_DELETE_PURE9,15,11.140982140054948,9.99950002499875e-05,0.0006999650017499125,True,True
CONFIRMATION,EDGE_REVERSE_PURE8,15,11.630935635673932,0.000199990000499975,0.0008999550022498875,True,True
CONFIRMATION,DIRECTION_ALL_COVARIANT_SWITCH,15,9.414575497476704,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,ORDER,15,6.532307209759071,0.000599970001499925,0.001799910004499775,True,True
CONFIRMATION,META_REASSIGNED,15,24.93673020236674,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,PRESERVATION,15,-1.3112173720005733,0.07464626768661567,0.07464626768661567,False,False
CONFIRMATION,TERMINAL,15,-1.6194066455377718,0.010249487525623718,0.020498975051247436,False,False
CONFIRMATION,DEGREE_MATCHED,15,24.144101410320115,4.999750012499375e-05,0.0004999750012499375,True,True
CONFIRMATION,COMPLEXITY_MATCHED,15,24.18698159546178,0.00014999250037498125,0.0008999550022498875,True,True
CONFIRMATION,TOPOLOGY_MATCHED,15,27.332204514427406,0.00014999250037498125,0.0008999550022498875,True,True
FINAL_HOLDOUT,EDGE_DELETE_PURE9,16,11.531883431474029,0.00014999250037498125,0.0007499625018749063,True,True
FINAL_HOLDOUT,EDGE_REVERSE_PURE8,16,11.785302727619598,0.00014999250037498125,0.0007499625018749063,True,True
FINAL_HOLDOUT,DIRECTION_ALL_COVARIANT_SWITCH,16,9.48804332697137,9.99950002499875e-05,0.0006999650017499125,True,True
FINAL_HOLDOUT,ORDER,16,7.506127024966685,0.00014999250037498125,0.0007499625018749063,True,True
FINAL_HOLDOUT,META_REASSIGNED,16,28.9068085459352,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,PRESERVATION,16,-1.253496994287088,0.05559722013899305,0.05559722013899305,False,False
FINAL_HOLDOUT,TERMINAL,16,-1.8317052722648914,0.0022998850057497125,0.004599770011499425,False,False
FINAL_HOLDOUT,DEGREE_MATCHED,16,24.727400344628045,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,COMPLEXITY_MATCHED,16,23.526593604188985,4.999750012499375e-05,0.0004999750012499375,True,True
FINAL_HOLDOUT,TOPOLOGY_MATCHED,16,21.795422261968454,9.99950002499875e-05,0.0006999650017499125,True,True
