SEED,CONDITION,MAHALANOBIS,STD_EUCLIDEAN
1080,A_AUTHENTIC,0.0,0.0
1080,I_ISOMORPHIC_RELABEL,1.0683608643521378,1.902335454468567
1080,F_SURFACE_FORMAT_CONTROL,3.3554526644806195,6.641472672130376
1080,D_ALL_DIRECTION_REVERSED,11.943257181690774,9.76058655540083
1080,O_ORDER_SHUFFLED,8.85913829774006,7.066971890212689
1080,M_SWITCH_REASSIGNED,22.052208657111397,20.115217249632956
1080,M0_SWITCH_NEUTRALIZED,17.62684356673731,22.19357038506072
1080,P_ANCHOR_REASSIGNED,1.0683608643521378,1.9023354544685669
1080,T_TERMINAL_CHANGED,1.0683608643521378,1.902335454468567
1080,R_DEGREE_MATCHED_REWIRE,19.26359458222741,18.22939972572956
1080,X_COMPLEXITY_MATCHED,37.62765509411758,29.87687608816147
1080,Y_TOPOLOGY_MATCHED,33.61174650786669,35.583312689150674
1080,L_FORWARD_CONTROL,79.32744009548868,44.91775303957568
1080,G_RANDOM_CONTROL,21.435373501687685,23.09373010214064
1080,E0_DELETE,10.642233125483324,5.928870033626847
1080,E1_DELETE,11.584336093881598,6.889704548410752
1080,E2_DELETE,20.124355361854096,11.06501035364091
1080,E3_DELETE,25.30426570069461,11.918054940451789
1080,E4_DELETE,17.169077570650458,6.376342732322022
1080,E5_DELETE,11.453876805424008,5.083077324556339
1080,E6_DELETE,10.412116244191736,5.660575348581377
1080,E7_DELETE,25.391608547974716,20.83465647812435
1080,E8_DELETE,7.823007243651586,4.1720856688948755
1080,E9_DELETE,14.568930272948808,19.230285223585135
1080,E0_REVERSE,13.227218183618366,10.514647642805654
1080,E1_REVERSE,13.213679411881106,12.418151398812183
1080,E2_REVERSE,14.856993600683772,10.071176920498523
1080,E3_REVERSE,24.37954687036081,11.372208438081184
1080,E4_REVERSE,22.901253612224433,14.17183232548363
1080,E5_REVERSE,13.461177710225833,4.0629699970377136
1080,E6_REVERSE,13.223633927928377,5.3327875848797355
1080,E7_REVERSE,23.916132831576004,21.014538097636652
1080,E8_REVERSE,3.3758368959140554,2.6211924847940913
1080,E9_REVERSE,38.811074151635474,30.285508300827594
1081,A_AUTHENTIC,0.0,0.0
1081,I_ISOMORPHIC_RELABEL,0.0,0.0
1081,F_SURFACE_FORMAT_CONTROL,3.205082593056417,5.707006363405704
