EXPERIMENT_ID,DESTINATION_BUCKET,ELIGIBLE_FILE_COUNT
EXP-014,00_CONTROL,5
EXP-014,01_PROTOCOL,2
EXP-014,02_INPUTS,8
EXP-014,03_RUNNER,2
EXP-014,04_RAW,17
EXP-014,05_OUTPUTS,14
EXP-014,06_DIAGNOSTIC,11
EXP-014,07_ADJUDICATION,1
EXP-014,08_PACKAGE,3
EXP-014,09_FREEZE,33
EXP-014,UNCLASSIFIED,43
