SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
294,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\00_CONTROL\WF1_A_COMPLETE_DIRECTORY_TREE.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\SOURCE\WF1_A_COMPLETE_DIRECTORY_TREE.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,29218,1789339399525829800,3ce066dbe7a32e0b1cef2bacbfdae6b65bb96fbffc36c3d7f2b959dd53bfe20a,3ce066dbe7a32e0b1cef2bacbfdae6b65bb96fbffc36c3d7f2b959dd53bfe20a,True,COPIED_AND_VERIFIED,
295,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\INPUTS\V12_ORIGINAL_RESULTS\14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\SOURCE\INPUTS\V12_ORIGINAL_RESULTS\14_CONTROL_MATCH_AUDIT.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,155653,1789224847356568600,b80501f63461247943427d2cf9baf7111e220c702149d3d324a8887dc9526c0d,b80501f63461247943427d2cf9baf7111e220c702149d3d324a8887dc9526c0d,True,COPIED_AND_VERIFIED,
296,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\OUTPUT\14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\SOURCE\OUTPUT\14_CONTROL_MATCH_AUDIT.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,185162,1789323766822025700,75279cf8182da52dd3c3fa704c8e2d94959cfdff39cbfae6e224e528d3de2c32,75279cf8182da52dd3c3fa704c8e2d94959cfdff39cbfae6e224e528d3de2c32,True,COPIED_AND_VERIFIED,
297,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PROTOCOL\PREFLIGHT_FREEZE\14_CONTROL_MATCH_AUDIT.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\SOURCE\PROTOCOL\PREFLIGHT_FREEZE\14_CONTROL_MATCH_AUDIT.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,185162,1789233301831194000,75279cf8182da52dd3c3fa704c8e2d94959cfdff39cbfae6e224e528d3de2c32,75279cf8182da52dd3c3fa704c8e2d94959cfdff39cbfae6e224e528d3de2c32,True,COPIED_AND_VERIFIED,
298,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\README_NEXT_STEP.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\00_CONTROL\SOURCE\README_NEXT_STEP.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,402,1789222266000000000,30028c6dea53c2cd59698935108684f78a8798ab14b2c7d4d459248b620c2101,30028c6dea53c2cd59698935108684f78a8798ab14b2c7d4d459248b620c2101,True,COPIED_AND_VERIFIED,
299,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PROTOCOL\WF1_A_V12_R_PREREGISTERED_PROTOCOL.md,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\01_PROTOCOL\SOURCE\PROTOCOL\WF1_A_V12_R_PREREGISTERED_PROTOCOL.md,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,7147,1789222264000000000,1631556dea5851616b626c6f9d5ba41fd5fea5801e612d7c6184e5b8a79e7c35,1631556dea5851616b626c6f9d5ba41fd5fea5801e612d7c6184e5b8a79e7c35,True,COPIED_AND_VERIFIED,
300,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\PROTOCOL\WF1_A_V12_R_PREREGISTRATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\01_PROTOCOL\SOURCE\PROTOCOL\WF1_A_V12_R_PREREGISTRATION.json,01_PROTOCOL,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,1490,1789222248000000000,594398ee49ab3e53cc570b56b3e7b4b694d35bf58355c232e808d535e92e6012,594398ee49ab3e53cc570b56b3e7b4b694d35bf58355c232e808d535e92e6012,True,COPIED_AND_VERIFIED,
301,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S1_MISSINGNESS_20260913_232020\03_MISSINGNESS_BY_SEED.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\02_INPUTS\SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S1_MISSINGNESS_20260913_232020\03_MISSINGNESS_BY_SEED.csv,02_INPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,1897,1789330824459707400,787492ed2466dc13f05aacc2d648b7bb2cbc697d2f702bed1e341eb2715d10d2,787492ed2466dc13f05aacc2d648b7bb2cbc697d2f702bed1e341eb2715d10d2,True,COPIED_AND_VERIFIED,
302,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S1_MISSINGNESS_20260913_232020\05_SEED_CONDITION_REPLICATE_CLUSTERS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\02_INPUTS\SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S1_MISSINGNESS_20260913_232020\05_SEED_CONDITION_REPLICATE_CLUSTERS.csv,02_INPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,71894,1789330824483692800,0f127442c466582f37900f13cd8729a6ee2dfad367b1e1515aab9cf6d35d74c4,0f127442c466582f37900f13cd8729a6ee2dfad367b1e1515aab9cf6d35d74c4,True,COPIED_AND_VERIFIED,
303,EXP-014,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\01_SCENARIO_SEED_COUNTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\031_EXP-014__WF1_A_Corrective_Causal_Topology\02_INPUTS\SOURCE\ADJUDICATION\WF1_A_R1_SENSITIVITY_S2_OUTCOME_20260913_233429\01_SCENARIO_SEED_COUNTS.csv,02_INPUTS,C:\RSOS\RSOS_EXPERIMENTS_WF1_A_V12_R_CORRECTIVE_CAUSAL_TOPOLOGY,134,1789331690591880700,18961b4f0745991fd35b53d85cd9686a67865d9edef3ab0be6751434b6690d7d,18961b4f0745991fd35b53d85cd9686a67865d9edef3ab0be6751434b6690d7d,True,COPIED_AND_VERIFIED,
