CELL_KEY
1084|E4_DELETE|1
1084|E4_REVERSE|2
1086|D_ALL_DIRECTION_REVERSED|0
1086|D_ALL_DIRECTION_REVERSED|1
1086|D_ALL_DIRECTION_REVERSED|2
1087|E9_REVERSE|0
1087|E9_REVERSE|1
1087|E9_REVERSE|2
1090|M_SWITCH_REASSIGNED|0
1090|M_SWITCH_REASSIGNED|2
1098|G_RANDOM_CONTROL|1
1101|E1_REVERSE|1
1101|E4_DELETE|0
1104|E7_DELETE|0
1104|E7_DELETE|1
1104|E7_DELETE|2
1105|M0_SWITCH_NEUTRALIZED|2
1113|E4_DELETE|1
1122|M0_SWITCH_NEUTRALIZED|0
1126|I_ISOMORPHIC_RELABEL|2
1130|E7_DELETE|0
1130|E7_DELETE|1
1130|E7_DELETE|2
1130|G_RANDOM_CONTROL|0
1130|G_RANDOM_CONTROL|1
1130|G_RANDOM_CONTROL|2
1132|E7_REVERSE|0
1132|M0_SWITCH_NEUTRALIZED|2
1133|E7_DELETE|0
1133|G_RANDOM_CONTROL|1
1133|G_RANDOM_CONTROL|2
1136|E5_REVERSE|1
1136|E5_REVERSE|2
1142|E2_REVERSE|2
1142|E5_DELETE|2
1143|E7_DELETE|2
1144|E5_REVERSE|0
1144|E5_REVERSE|1
1148|M0_SWITCH_NEUTRALIZED|0
1148|M0_SWITCH_NEUTRALIZED|1
1153|E9_REVERSE|0
1153|E9_REVERSE|1
1153|E9_REVERSE|2
1158|P_ANCHOR_REASSIGNED|2
1159|I_ISOMORPHIC_RELABEL|1
1159|I_ISOMORPHIC_RELABEL|2
