SOURCE_PATH,SNAPSHOT_PATH,SIZE_BYTES,SHA256,VERIFIED
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\CANONICAL_EXPERIMENT_FOLDER_INDEX.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\CANONICAL_EXPERIMENT_FOLDER_INDEX.csv,3383,c000e963cf98039f310c373860d74eb9977c1acdb6a46a1e824ff0b22af0868e,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\CANONICAL_RUN_FOLDER_INDEX.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\CANONICAL_RUN_FOLDER_INDEX.csv,1966,1bbf235d7f9f4fe6f2e71ab458dd948b2b3048426e20f4c8d545d6603e49118b,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\MASTER_CANONICAL_HYDRATION_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\MASTER_CANONICAL_HYDRATION_MANIFEST.csv,1595845,d9de5bce775cd75da2699a2e8060682c547eb9b765399717184a45a2539ac146,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\MASTER_RUN_HYDRATION_MANIFEST_V2.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\MASTER_RUN_HYDRATION_MANIFEST_V2.csv,457941,70aeab767502e3cdd3ef08524ccf13b29d9378f7b24a19eb5317e506c84afe03,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\PHASE8D_CANONICAL_SOURCE_HYDRATION_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\PHASE8D_CANONICAL_SOURCE_HYDRATION_SUMMARY.json,525,18c485e4f66888351a6d90d07bd8577be28e595e8f34d464f8c6c3e871767a93,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\PHASE8G_R2_LONGPATH_REPAIR_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\PHASE8G_R2_LONGPATH_REPAIR_SUMMARY.json,563,5d310f7e9832a9ad31e67fd3fc0393105d318b2e456509222ffcdafcdbab5fd9,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\CANONICAL_CHAIN_CONTROL_RECORD.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\CANONICAL_CHAIN_CONTROL_RECORD.json,1688,48713d23f2304c99afcfa16db6186f5c6845bc372c5e0caf486175c439f91bb8,True
C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\00_MASTER_CONTROL\POST_FREEZE_TECHNICAL_FAILURE_LEDGER.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\99_FINAL_FREEZE\.INCOMPLETE_CANONICAL_CHAIN_FREEZE_20260915T213721Z\04_CONTROL_SNAPSHOTS\POST_FREEZE_TECHNICAL_FAILURE_LEDGER.csv,724,a9cd76bda63e683447031e95c5a334dbc2489ac66fabff009c42bb2e49b82763,True
