model,authentic_mean,damaged_mean,difference,permutation_p,PASS
gpt-5.6-luna,7.866666666666666,4.477777777777777,3.3888888888888884,1.999960000799984e-05,True
gpt-5.6-terra,8.744444444444444,2.822222222222222,5.922222222222222,1.999960000799984e-05,True
gpt-5.6-sol,6.35,2.627777777777778,3.722222222222222,1.999960000799984e-05,True
