coordinate,luna_difference,terra_difference,sol_difference,positive_all_models,significant_all_models
DIRECTION,6.594444444444444,1.166666666666667,3.3499999999999996,True,True
ORDER,1.6444444444444446,3.8833333333333337,-0.08333333333333345,False,False
META_CONTROL,2.3111111111111113,1.2388888888888892,0.5999999999999999,True,True
PRESERVATION,5.049999999999999,3.4833333333333334,2.0166666666666666,True,True
TERMINAL,4.183333333333334,2.838888888888889,0.7444444444444444,True,True
