POPULATION,MEASURE,REFERENCE,THRESHOLD,N_EXTERNAL,MATCHES,FRACTION,CI_LOW,CI_HIGH,ONE_IN,LINEAGE_ACTUAL_COVERAGE
PRIMARY_ENGLISH_NO_SYSTEM_HIT,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_90PCT_TOLERANCE,,6618,1,0.0001511030522816561,3.825590745916142e-06,0.0008416015950701551,6618.0,0.8029197080291971
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MEDIAN_Z,LINEAGE_95PCT_TOLERANCE,-3.5275802619295638,6618,231,0.034904805077062555,0.03061330264223101,0.039612157791829944,28.649350649350648,0.948905109489051
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MIN_Z,LINEAGE_95PCT_TOLERANCE,-6.236400940840964,6618,1363,0.20595346025989725,0.19626611645392314,0.2159005790574999,4.855465884079237,0.948905109489051
PRIMARY_ENGLISH_NO_SYSTEM_HIT,STRICT_5_COMPONENT_CONJUNCTION,INDIVIDUAL_95PCT_TOLERANCE,,6618,68,0.010275007555152614,0.007987531616033685,0.01300807497758209,97.32352941176471,0.9051094890510949
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q50,2.1299768577726845,13777,499,0.0362197866008565,0.03316194394421833,0.03947546135979386,27.609218436873746,
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q75,2.5324463635735537,13777,384,0.027872541191841474,0.025187675634236916,0.03075920696581704,35.877604166666664,
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q90,2.934697230047748,13777,298,0.02163025332075198,0.019266264187631544,0.024199166254054955,46.23154362416108,
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q95,3.4632221631504088,13777,221,0.016041228133846265,0.014009766011758375,0.018280632511548513,62.339366515837106,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q50,6.392869088564129,13777,1148,0.08332728460477608,0.07876434913487972,0.08806709212623026,12.000871080139373,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q75,8.577594544816272,13777,683,0.04957537925528054,0.04600992342075804,0.05333256845548589,20.171303074670572,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q90,11.165009409464217,13777,386,0.02801771067721565,0.025325870835480106,0.030911280067977574,35.69170984455958,
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q95,11.944496220327633,13777,337,0.024461058285548377,0.021946120074082157,0.02717948077560274,40.881305637982194,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q50,5.169596516578415,13777,2794,0.20280177106772157,0.19611464878099458,0.20961464571890914,4.93092340730136,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q75,7.558190893521439,13777,2234,0.16215431516295276,0.15603500541416274,0.16841666821721374,6.166965085049239,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q90,9.223146097812174,13777,1931,0.14016113812876532,0.1344044192394988,0.14607028475516293,7.134645261522527,
ALL_USABLE,SURFACE_FREE_MARGIN,LINEAGE_Q95,10.678216732016637,13777,1720,0.12484575742178994,0.11936961022026983,0.1304808852848608,8.009883720930233,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q50,5.409719241108979,13777,4542,0.32967990128474994,0.3218304626840387,0.33760133293868405,3.033245266402466,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q75,7.860949786822722,13777,3333,0.24192494737606154,0.23479273724397007,0.24916630859192881,4.133513351335133,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q90,10.368566430169743,13777,2492,0.18088117877622123,0.17448530315832214,0.18741212456224302,5.528491171749598,
ALL_USABLE,R1_COMPATIBLE_MARGIN,LINEAGE_Q95,12.356024590830328,13777,1855,0.1346446976845467,0.12898615972553013,0.1404580216994466,7.426954177897574,
ALL_USABLE,COMPOSITE_MEDIAN_Z,LINEAGE_50PCT_TOLERANCE,-0.9454561207921073,13777,0,0.0,0.0,0.0002677205224439641,inf,0.5036496350364964
ALL_USABLE,COMPOSITE_MIN_Z,LINEAGE_50PCT_TOLERANCE,-2.0091731760501625,13777,0,0.0,0.0,0.0002677205224439641,inf,0.5036496350364964
