"ROLE","DIRECT","ZIP","CONTENT","REQUIRED"
"HISTORICAL_LINEAGE","36","48","0","YES"
"SAME_AUTHOR_NON_LINEAGE","0","0","14","YES"
"PRE_LINEAGE","0","0","0","WHERE_VALID"
"RELATIONAL_TOPOLOGICAL","952","488","0","YES"
"FROZEN_FEATURES","32","0","0","YES"
"FROZEN_DETECTORS","201","0","0","YES"
"TEMPORAL_METADATA","234","0","0","YES"
"EXTERNAL_POPULATION","33","0","0","YES"
