SOURCE_FAMILY,AUTHORITATIVE_CANDIDATE,HISTORICAL_REFERENCE_ONLY,DEVELOPMENT_AUDIT_ONLY,INVALIDATED_OR_SUPERSEDED,STATUS
F1,14,37,4,0,REQUIRES_AUTHORITY_RESOLUTION
F2,15,83,8,0,REQUIRES_AUTHORITY_RESOLUTION
V11,3,7,0,0,AUTHORITY_CANDIDATES_PRESENT
V12,1,52,4,0,REQUIRES_AUTHORITY_RESOLUTION
WF1-A,25,76,0,6,REQUIRES_AUTHORITY_RESOLUTION
WF1-P0,1,3,1,0,REQUIRES_AUTHORITY_RESOLUTION
WF2,30,86,0,3,REQUIRES_AUTHORITY_RESOLUTION
