"AUTHORITY","PATH","EXISTS","TYPE"
"WF2","C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION","True","DIRECTORY"
"WF1-P0","C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE","True","DIRECTORY"
"F2-BR0","C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY","True","DIRECTORY"
"F2-BR2-PACKAGE","C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip","True","FILE"
"F2-EXTERNAL","C:\RSOS\Training data\F2_B_FRESH_WILDCHAT","True","DIRECTORY"
