SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
544,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\BOUNDARY1_BUILD_REPORT.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\BOUNDARY1_BUILD_REPORT.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,518,1789394662192835600,8662702a63b3b115f024c2def65e4c3a4c49661f3de860f7ba2b90ccacc9e9a1,8662702a63b3b115f024c2def65e4c3a4c49661f3de860f7ba2b90ccacc9e9a1,True,COPIED_AND_VERIFIED,
545,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\BOUNDARY1_R1_BUILD_REPORT.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\BOUNDARY1_R1_BUILD_REPORT.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,786,1789395642735583700,b2c4df723f84eafaaa850f3e250fa184c90d09d969227d604cc870d798379f27,b2c4df723f84eafaaa850f3e250fa184c90d09d969227d604cc870d798379f27,True,COPIED_AND_VERIFIED,
546,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\BOUNDARY1_SCORER_PARITY.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\BOUNDARY1_SCORER_PARITY.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,94,1789394661801408400,8cedb2c03a8373afab79f1ec376d905a0360975dcc744d881ae156db17a6c009,8cedb2c03a8373afab79f1ec376d905a0360975dcc744d881ae156db17a6c009,True,COPIED_AND_VERIFIED,
547,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0_FOUNDATION_FILE_CANDIDATES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0_FOUNDATION_FILE_CANDIDATES.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,497772,1789391756113415200,4720ecc0bab23fd15db0bfd6a0f58db15c61fcb9a5006479529e4b51cc4b3271,4720ecc0bab23fd15db0bfd6a0f58db15c61fcb9a5006479529e4b51cc4b3271,True,COPIED_AND_VERIFIED,
548,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0_FOUNDATION_ZIP_MEMBER_CANDIDATES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0_FOUNDATION_ZIP_MEMBER_CANDIDATES.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,649296,1789391756155580500,fd1360abd3f01f07bcfb3284332edfdbe809c0509334cfcfe71f47227ea24e86,fd1360abd3f01f07bcfb3284332edfdbe809c0509334cfcfe71f47227ea24e86,True,COPIED_AND_VERIFIED,
549,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0_REPORT.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0_REPORT.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,16244,1789391756205634700,02cc6e63b0606096537cc94e82138a71f7786ad5ace50df6a983f8f787b0613b,02cc6e63b0606096537cc94e82138a71f7786ad5ace50df6a983f8f787b0613b,True,COPIED_AND_VERIFIED,
550,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0_REQUIREMENT_MATRIX.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0_REQUIREMENT_MATRIX.csv,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,2464,1789391756203635700,a6a9e1d6bdc88a1dd63bc6ef005567fd022f25682285740b26d15ad6e4696a41,a6a9e1d6bdc88a1dd63bc6ef005567fd022f25682285740b26d15ad6e4696a41,True,COPIED_AND_VERIFIED,
551,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0_RETURN_FOR_ADJUDICATION.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0_RETURN_FOR_ADJUDICATION.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,18785,1789391756238681600,c58288fa6c190d9b5a64f529f2ce480a455a847240716290f4127555129f0563,c58288fa6c190d9b5a64f529f2ce480a455a847240716290f4127555129f0563,True,COPIED_AND_VERIFIED,
552,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0_SUMMARY.json,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,954,1789391756204635100,17939a06dfa15b98e7807df07d4a7f9b2b47c01479ea313428ef7735f7dceb78,17939a06dfa15b98e7807df07d4a7f9b2b47c01479ea313428ef7735f7dceb78,True,COPIED_AND_VERIFIED,
553,EXP-016,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\PHASE0B_AUTHORITY_RESOLUTION_REPORT.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\033_EXP-016__WF2_Prospective_Cross_System_Confirmation\00_CONTROL\SOURCE\PHASE0B_AUTHORITY_RESOLUTION_REPORT.txt,00_CONTROL,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,17415,1789392442274167100,7d7c5dc8ab095aef563b2f6fb895ce07fe1e4c37f23c5ddccd189cce8f857ed3,7d7c5dc8ab095aef563b2f6fb895ce07fe1e4c37f23c5ddccd189cce8f857ed3,True,COPIED_AND_VERIFIED,
